Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,70.75,72.53,70.75,71.95,5300,71.95
2015-02-12,71.91,71.91,70.75,70.99,7100,70.99
2015-02-11,71.71,71.72,71.40,71.50,4100,71.50
2015-02-10,70.75,72.28,70.75,71.71,2100,71.71
2015-02-09,72.00,72.33,71.05,71.08,8900,71.08
2015-02-06,72.49,73.44,71.51,72.19,31900,72.19
2015-02-05,71.01,72.69,71.01,72.42,7200,72.42
2015-02-04,72.08,72.93,70.98,71.39,5600,71.39
2015-02-03,71.86,73.15,71.86,72.98,8900,72.98
2015-02-02,69.44,70.86,69.00,70.86,5200,70.86
2015-01-30,71.10,71.83,69.10,69.15,16400,69.15
2015-01-29,71.97,72.10,70.11,71.10,11800,71.10
2015-01-28,72.77,73.91,70.72,72.31,13100,72.31
2015-01-27,73.93,73.93,71.69,72.67,6600,72.67
2015-01-26,73.30,73.30,72.57,72.98,5200,72.98
2015-01-23,73.19,73.62,72.62,73.41,2700,73.41
2015-01-22,73.50,73.50,72.60,73.03,16200,73.03
2015-01-21,72.66,73.22,71.62,73.02,3700,73.02
2015-01-20,71.75,73.20,71.73,71.98,12700,71.98
2015-01-16,71.28,72.31,70.02,72.31,18200,72.31
2015-01-15,71.83,72.36,70.44,71.06,4600,71.06
2015-01-14,73.01,73.46,71.21,71.21,11500,71.21
2015-01-13,72.71,76.13,72.64,73.97,29700,73.97
2015-01-12,70.02,73.38,70.02,72.62,27000,72.62
2015-01-09,71.46,74.75,71.03,73.41,48300,73.41
2015-01-08,70.53,71.98,70.53,71.55,9400,71.55
2015-01-07,70.63,70.86,67.42,70.49,47600,70.49
2015-01-06,72.54,72.72,69.64,69.99,45100,69.99
2015-01-05,71.73,73.92,70.87,72.31,29000,72.31
2015-01-02,73.80,73.80,71.32,71.96,23000,71.96
2014-12-31,73.17,75.28,72.32,72.86,38700,72.86
2014-12-30,72.20,73.77,72.20,72.31,7700,72.31
2014-12-29,70.82,73.00,70.82,72.92,9800,72.92
2014-12-26,72.07,72.35,71.13,71.47,16200,71.47
2014-12-24,70.96,74.35,70.93,72.39,28500,72.39
2014-12-23,70.10,71.23,67.78,70.96,11600,70.96
2014-12-22,73.49,73.49,71.45,71.45,5200,71.45
2014-12-19,73.50,75.74,72.48,73.50,33300,73.50
2014-12-18,72.82,73.90,72.00,73.56,25800,73.56
2014-12-17,72.15,73.57,71.21,72.32,35800,72.32
2014-12-16,68.58,72.35,68.58,71.21,57800,71.21
2014-12-15,66.96,69.69,66.86,69.16,28500,69.16
2014-12-12,68.27,69.16,66.50,67.01,18800,67.01
2014-12-11,70.27,70.84,68.64,68.99,22000,68.99
2014-12-10,70.31,71.55,69.38,69.86,35600,69.86
2014-12-09,69.03,71.85,69.03,71.30,16000,71.30
2014-12-08,71.27,73.00,69.74,69.78,8300,69.78
2014-12-05,71.37,72.81,71.28,72.02,11000,72.02
2014-12-04,70.95,72.47,70.62,70.62,9700,70.62
2014-12-03,68.02,71.99,68.02,71.49,36200,71.49
2014-12-02,67.17,69.40,67.17,69.23,33200,69.23
2014-12-01,68.75,69.30,66.50,67.23,28700,67.23
2014-11-28,68.65,70.20,66.19,68.20,22700,68.20
2014-11-26,69.71,69.71,68.57,69.52,3000,69.52
2014-11-25,69.01,69.45,68.91,69.23,7300,69.23
2014-11-24,71.26,71.26,68.56,70.24,13300,70.11
2014-11-21,73.27,73.27,70.68,71.63,3900,71.50
2014-11-20,71.46,72.73,71.37,72.27,3600,72.14
2014-11-19,74.09,74.26,72.46,72.86,9000,72.73
2014-11-18,72.50,74.73,72.50,74.35,25900,74.22
2014-11-17,71.85,72.69,71.85,72.36,26300,72.23
2014-11-14,72.39,72.69,71.57,72.22,25000,72.09
