Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,119.34,121.38,119.34,121.25,3802100,121.25
2015-02-12,119.17,119.96,118.82,119.59,2897000,119.59
2015-02-11,118.51,119.06,117.97,118.69,2707600,118.69
2015-02-10,119.89,120.22,118.92,119.40,2560000,118.76
2015-02-09,119.44,119.94,118.91,119.32,2560700,118.68
2015-02-06,120.00,121.02,119.38,119.81,2795900,119.17
2015-02-05,118.26,120.36,117.92,120.11,4687300,119.47
2015-02-04,118.75,119.00,117.45,117.79,3208400,117.16
2015-02-03,117.58,119.52,116.42,118.89,4491500,118.25
2015-02-02,115.17,116.70,114.05,116.58,3516900,115.96
2015-01-30,115.02,116.23,114.63,114.78,4623100,114.16
2015-01-29,116.88,117.03,114.47,116.45,6328600,115.83
2015-01-28,119.38,119.38,116.79,116.92,4341100,116.29
2015-01-27,116.50,120.36,115.01,119.16,7328100,118.52
2015-01-26,119.83,119.92,118.28,118.75,5693900,118.11
2015-01-23,120.37,120.95,119.93,119.98,4298400,119.34
2015-01-22,119.76,120.68,118.76,120.45,6562900,119.80
2015-01-21,117.36,119.30,117.20,119.03,7177600,118.39
2015-01-20,116.58,117.73,115.90,117.53,5466000,116.90
2015-01-16,113.19,116.34,113.16,116.15,5773200,115.53
2015-01-15,113.52,114.69,113.06,113.52,3170600,112.91
2015-01-14,113.17,114.17,112.62,113.52,3508800,112.91
2015-01-13,115.53,116.84,113.50,114.34,4196400,113.73
2015-01-12,114.46,114.75,113.02,114.45,5016200,113.84
2015-01-09,114.93,115.13,113.38,114.02,3816100,113.41
2015-01-08,113.92,115.00,113.30,114.65,3899900,114.04
2015-01-07,112.35,113.34,112.02,112.73,3102200,112.13
2015-01-06,112.27,113.04,110.23,111.52,5772300,110.92
2015-01-05,114.55,115.46,112.84,113.12,4765300,112.51
2015-01-02,115.14,115.64,113.80,115.04,3140100,114.42
2014-12-31,116.60,116.90,114.96,115.00,2363500,114.38
2014-12-30,116.89,116.89,115.93,116.20,2178000,115.58
2014-12-29,116.35,117.34,116.35,116.86,2490700,116.23
2014-12-26,117.52,117.80,117.10,117.24,1596700,116.61
2014-12-24,117.66,117.93,116.87,116.91,1017900,116.28
2014-12-23,117.50,118.02,116.92,117.21,2715900,116.58
2014-12-22,115.28,117.20,115.28,117.14,3058100,116.51
2014-12-19,116.28,117.19,115.38,115.59,7871600,114.97
2014-12-18,115.15,116.96,114.50,116.96,4740000,116.33
2014-12-17,113.51,114.34,111.82,113.90,5023600,113.29
2014-12-16,112.23,114.70,111.33,113.23,5139300,112.62
2014-12-15,112.66,113.45,111.62,111.91,4597400,111.31
2014-12-12,110.54,113.66,110.10,112.15,5867300,111.55
2014-12-11,114.10,114.86,113.26,114.04,5286100,113.43
2014-12-10,114.50,115.03,113.35,113.50,7863500,112.89
2014-12-09,112.23,115.00,111.56,114.99,5888700,114.37
2014-12-08,112.25,114.55,111.52,113.05,6350200,112.44
2014-12-05,111.48,111.65,110.44,111.29,3021700,110.69
2014-12-04,110.47,111.22,109.95,111.21,4602600,110.61
2014-12-03,109.90,111.42,109.58,110.99,3411400,110.40
2014-12-02,109.83,110.73,109.49,109.68,2747000,109.09
2014-12-01,109.06,110.28,108.70,109.69,3458800,109.10
2014-11-28,110.64,110.80,109.92,110.08,2121500,109.49
2014-11-26,111.79,111.99,109.84,110.16,5268800,109.57
2014-11-25,110.09,112.26,109.70,111.71,8103100,111.11
2014-11-24,108.96,111.70,108.41,108.79,9706400,108.21
2014-11-21,110.17,110.61,109.97,110.30,3572100,109.71
2014-11-20,108.00,108.86,107.87,108.82,2195700,108.24
2014-11-19,108.55,108.82,108.21,108.66,2271200,108.08
2014-11-18,107.70,109.09,107.29,108.80,2679300,108.22
2014-11-17,107.21,107.73,107.15,107.37,2394500,106.79
2014-11-14,107.92,108.42,107.39,107.45,2935500,106.87
2014-11-13,108.32,108.97,107.97,108.14,4211200,107.56
2014-11-12,107.67,108.26,107.36,108.14,3182500,107.56
2014-11-11,109.00,109.15,108.03,108.26,2949500,107.09
2014-11-10,109.05,109.23,108.67,109.00,3523700,107.82
2014-11-07,108.49,109.08,107.95,109.08,3253500,107.90
2014-11-06,107.90,108.83,107.78,108.58,3581300,107.41
2014-11-05,107.55,108.44,107.08,107.93,6698900,106.77
2014-11-04,107.00,107.29,106.33,106.88,3992400,105.73
2014-11-03,107.42,107.50,106.03,106.30,4587600,105.15
2014-10-31,107.83,107.95,106.98,107.00,4461100,105.85
2014-10-30,105.21,106.59,104.70,106.34,2890400,105.19
2014-10-29,106.72,107.27,105.42,105.85,4060700,104.71
2014-10-28,104.96,106.52,104.86,106.27,4173500,105.12
2014-10-27,103.79,104.30,103.49,104.19,2957500,103.07
2014-10-24,103.16,103.87,102.80,103.82,3657900,102.70
2014-10-23,102.87,103.94,102.46,103.18,5691500,102.07
2014-10-22,103.11,103.11,101.06,101.18,6181400,100.09
2014-10-21,104.12,104.15,100.68,101.98,12554100,100.88
2014-10-20,101.42,101.77,100.97,101.48,6394300,100.39
2014-10-17,100.30,101.98,100.24,101.53,7282000,100.44
2014-10-16,98.16,100.09,97.95,99.23,6099100,98.16
2014-10-15,99.06,99.59,97.30,99.17,7105000,98.10
2014-10-14,99.71,101.11,99.58,100.12,4573000,99.04
