Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,68.06,69.16,68.06,69.08,17300,69.08
2015-02-12,67.84,68.19,66.83,68.06,28900,68.06
2015-02-11,68.24,68.24,66.88,67.27,33600,67.27
2015-02-10,69.00,69.00,67.65,68.26,14600,68.26
2015-02-09,66.72,68.58,66.72,68.41,42400,68.41
2015-02-06,66.36,67.74,66.36,67.14,21000,67.14
2015-02-05,67.11,67.11,65.76,66.35,53700,66.35
2015-02-04,67.00,67.26,65.85,66.04,32700,66.04
2015-02-03,65.86,67.16,65.86,67.13,25900,67.13
2015-02-02,64.96,65.45,63.50,65.45,48900,65.45
2015-01-30,67.10,67.10,64.53,64.84,54500,64.84
2015-01-29,66.77,68.03,65.19,67.85,61600,67.85
2015-01-28,67.27,67.82,66.51,66.83,42900,66.83
2015-01-27,67.44,67.77,66.57,67.60,23900,67.60
2015-01-26,68.20,68.20,67.17,67.74,47500,67.74
2015-01-23,68.99,69.09,67.99,68.18,33900,68.18
2015-01-22,68.14,68.98,67.86,68.81,21100,68.81
2015-01-21,66.64,67.79,66.41,67.76,38600,67.76
2015-01-20,68.35,68.35,65.14,66.77,57000,66.77
2015-01-16,66.74,68.94,66.74,68.68,57700,68.68
2015-01-15,68.05,69.29,66.01,66.78,112800,66.78
2015-01-14,71.44,71.44,67.44,68.07,67900,68.07
2015-01-13,73.26,74.02,72.34,72.67,15400,72.67
2015-01-12,71.71,72.82,71.23,72.41,13800,72.41
2015-01-09,72.55,72.55,71.31,71.68,11200,71.68
2015-01-08,72.18,72.60,72.02,72.41,15200,72.41
2015-01-07,72.35,72.41,71.06,71.42,13400,71.42
2015-01-06,73.26,73.39,71.80,72.01,46500,72.01
2015-01-05,74.75,74.75,73.21,73.40,14800,73.40
2015-01-02,75.63,76.29,74.89,75.46,15600,75.46
2014-12-31,76.55,77.03,75.30,75.50,33800,75.50
2014-12-30,76.81,77.02,76.39,76.45,25100,76.45
