Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,79.66,79.99,79.00,79.87,1095800,79.87
2015-02-12,78.48,79.88,78.26,79.41,1256100,79.41
2015-02-11,77.52,79.31,77.49,78.00,1740100,78.00
2015-02-10,76.91,78.15,76.82,77.76,1778100,77.76
2015-02-09,75.21,76.81,75.16,76.17,1603000,76.17
2015-02-06,74.53,76.99,74.30,75.23,2637900,75.23
2015-02-05,73.37,75.36,73.11,74.01,2129900,74.01
2015-02-04,71.25,72.92,71.08,71.47,1541600,71.47
2015-02-03,72.00,72.00,71.19,71.82,1256400,71.82
2015-02-02,71.17,71.89,70.10,71.44,1308200,71.44
2015-01-30,70.68,71.75,69.85,70.51,1148200,70.51
2015-01-29,69.99,71.56,69.53,71.34,1327700,71.34
2015-01-28,70.92,70.95,69.99,70.03,1372600,70.03
2015-01-27,69.41,70.43,68.94,70.23,1172900,70.23
2015-01-26,69.83,70.57,69.05,70.52,826900,70.52
2015-01-23,69.87,70.37,69.18,69.74,1107400,69.74
2015-01-22,68.75,70.00,67.75,69.92,1791600,69.92
2015-01-21,66.71,68.04,66.35,67.98,857100,67.98
2015-01-20,67.19,67.46,66.12,66.99,1023500,66.99
2015-01-16,66.26,67.34,66.17,66.89,1486800,66.89
2015-01-15,68.14,68.28,65.94,66.22,1019000,66.22
2015-01-14,66.35,67.89,65.37,67.74,808600,67.74
2015-01-13,69.02,69.09,66.32,67.36,972500,67.36
2015-01-12,68.08,68.44,67.28,68.25,1130700,68.25
2015-01-09,68.40,68.58,67.61,68.29,840100,68.29
2015-01-08,66.86,68.64,66.81,68.28,1380500,68.28
2015-01-07,65.30,66.33,65.06,66.21,532400,66.21
2015-01-06,65.02,66.13,64.28,64.98,686300,64.98
2015-01-05,66.29,66.39,64.82,65.13,897200,65.13
2015-01-02,66.39,67.91,66.18,66.98,978500,66.98
2014-12-31,66.52,67.42,65.64,65.73,680200,65.73
2014-12-30,66.62,67.11,66.34,66.41,484500,66.41
2014-12-29,65.98,66.92,65.98,66.85,461700,66.85
2014-12-26,66.62,66.89,66.28,66.35,374600,66.35
2014-12-24,66.14,66.60,65.96,66.27,329000,66.27
2014-12-23,66.17,66.80,65.94,66.29,776800,66.29
2014-12-22,66.68,66.74,65.40,66.09,1237500,66.09
2014-12-19,65.81,66.97,65.31,66.78,1532000,66.78
2014-12-18,65.09,65.60,63.80,65.43,1025800,65.43
2014-12-17,62.20,64.13,61.80,63.99,1060500,63.99
2014-12-16,61.63,63.76,61.49,62.12,1062900,62.12
2014-12-15,62.49,63.30,61.45,61.51,1214100,61.51
2014-12-12,63.54,63.54,62.36,62.39,1214900,62.39
2014-12-11,63.35,64.01,62.90,63.05,976100,63.05
2014-12-10,65.86,65.91,62.64,63.16,1760800,63.16
2014-12-09,64.54,66.05,64.40,66.03,723400,66.03
2014-12-08,66.36,66.47,64.99,65.25,619400,65.25
2014-12-05,67.22,67.49,66.47,66.67,693900,66.67
2014-12-04,66.82,67.71,66.60,67.42,1063600,67.42
2014-12-03,65.63,67.11,65.46,67.07,1175400,67.07
2014-12-02,64.63,65.48,64.43,65.41,1226400,65.41
2014-12-01,65.98,66.10,64.20,64.50,1336300,64.50
2014-11-28,67.02,67.04,66.01,66.10,533400,66.10
2014-11-26,67.76,67.79,66.73,67.12,670600,67.12
2014-11-25,68.67,68.92,67.28,67.59,811900,67.59
2014-11-24,68.81,68.98,68.56,68.61,1596200,68.61
2014-11-21,68.63,69.10,68.24,68.61,1541200,68.55
2014-11-20,67.09,68.24,66.80,68.01,1064500,67.95
2014-11-19,67.08,67.84,66.48,67.67,1200200,67.61
2014-11-18,65.93,67.21,65.93,67.10,1369400,67.04
2014-11-17,66.16,66.20,65.74,66.00,896800,65.94
2014-11-14,65.50,66.37,65.12,66.31,830800,66.25
2014-11-13,65.42,65.90,64.92,65.58,842500,65.52
2014-11-12,65.53,65.72,64.81,65.46,889700,65.40
2014-11-11,65.28,65.88,65.18,65.35,598300,65.29
2014-11-10,65.05,65.77,64.96,65.42,1063700,65.36
2014-11-07,64.76,65.77,64.73,65.11,1237500,65.05
2014-11-06,64.19,64.85,63.51,64.77,1039000,64.71
2014-11-05,64.25,65.50,63.81,64.17,1596200,64.11
2014-11-04,62.72,64.71,61.22,63.50,2691100,63.44
2014-11-03,61.64,62.79,61.27,62.40,2139900,62.35
2014-10-31,61.50,62.03,60.40,61.71,1507800,61.66
2014-10-30,59.01,60.75,58.92,60.29,1202500,60.24
2014-10-29,60.41,60.76,58.71,59.40,1878300,59.35
2014-10-28,59.81,60.63,58.96,60.52,1392300,60.47
2014-10-27,60.75,60.94,59.43,59.77,965800,59.72
2014-10-24,61.05,61.44,60.25,61.25,1163300,61.20
2014-10-23,59.92,60.94,59.35,60.24,1195300,60.19
2014-10-22,60.42,60.89,59.32,59.35,942600,59.30
2014-10-21,59.78,60.58,59.64,60.25,781700,60.20
2014-10-20,58.93,59.61,58.65,59.46,765900,59.41
2014-10-17,57.50,59.45,57.44,59.09,2916300,59.04
2014-10-16,55.86,57.32,55.16,56.77,2142500,56.72
2014-10-15,55.22,56.68,54.10,56.28,1739700,56.23
2014-10-14,55.65,56.45,55.05,55.73,1086700,55.68
