Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,13.39,13.43,13.18,13.18,101600,13.18
2015-02-12,13.35,13.38,13.35,13.35,26800,13.35
2015-02-11,13.45,13.45,13.35,13.35,18800,13.35
2015-02-10,13.48,13.50,13.42,13.49,66900,13.42
2015-02-09,13.58,13.58,13.49,13.50,52400,13.43
2015-02-06,13.65,13.65,13.49,13.52,89700,13.45
2015-02-05,13.75,13.75,13.66,13.69,46600,13.62
2015-02-04,13.89,13.91,13.67,13.73,103600,13.66
2015-02-03,14.02,14.02,13.91,13.92,25000,13.85
2015-02-02,13.99,14.03,13.97,14.00,24800,13.93
2015-01-30,14.01,14.02,13.95,13.98,18100,13.91
2015-01-29,13.97,13.97,13.91,13.94,38700,13.87
2015-01-28,13.90,13.95,13.90,13.95,36900,13.88
2015-01-27,13.89,13.93,13.86,13.91,21200,13.84
2015-01-26,13.88,13.89,13.84,13.84,19400,13.77
2015-01-23,13.90,13.91,13.86,13.88,27600,13.81
2015-01-22,13.86,13.92,13.86,13.92,30500,13.85
2015-01-21,13.89,13.94,13.86,13.88,28100,13.81
2015-01-20,13.90,13.95,13.87,13.95,48200,13.88
2015-01-16,13.94,13.95,13.87,13.89,13300,13.82
2015-01-15,13.84,13.93,13.84,13.92,52600,13.85
2015-01-14,13.76,13.86,13.76,13.79,60300,13.72
2015-01-13,13.77,13.77,13.69,13.73,40600,13.66
2015-01-12,13.73,13.79,13.67,13.75,94100,13.68
2015-01-09,13.71,13.83,13.71,13.76,56900,13.63
2015-01-08,13.78,13.80,13.70,13.72,72600,13.59
2015-01-07,13.77,13.83,13.76,13.77,51900,13.64
2015-01-06,13.73,13.80,13.72,13.76,120500,13.63
2015-01-05,13.76,13.81,13.67,13.68,106600,13.55
2015-01-02,13.89,14.00,13.78,13.78,64300,13.65
2014-12-31,13.94,13.98,13.84,13.89,49800,13.76
2014-12-30,13.76,13.92,13.75,13.88,62200,13.75
2014-12-29,13.77,13.82,13.71,13.76,35500,13.63
2014-12-26,13.80,13.86,13.76,13.76,22800,13.63
2014-12-24,13.77,13.81,13.77,13.77,14600,13.64
2014-12-23,13.74,13.80,13.69,13.75,37400,13.62
2014-12-22,13.83,13.83,13.68,13.68,71800,13.55
2014-12-19,13.81,13.83,13.78,13.78,26000,13.65
2014-12-18,13.83,13.88,13.80,13.80,37300,13.67
2014-12-17,13.81,13.86,13.79,13.80,33200,13.67
2014-12-16,13.80,13.84,13.57,13.84,41600,13.71
2014-12-15,13.74,13.83,13.71,13.76,33500,13.63
2014-12-12,13.79,13.85,13.73,13.73,64700,13.60
2014-12-11,13.93,14.00,13.85,13.85,31200,13.64
2014-12-10,13.84,13.98,13.84,13.98,61100,13.77
2014-12-09,13.86,13.90,13.82,13.82,19000,13.61
2014-12-08,13.89,13.99,13.86,13.89,45600,13.68
2014-12-05,13.98,13.98,13.80,13.89,30900,13.68
2014-12-04,13.85,14.00,13.82,13.97,75000,13.76
2014-12-03,13.79,13.88,13.77,13.88,73000,13.67
2014-12-02,13.67,13.82,13.65,13.82,69700,13.61
2014-12-01,13.72,13.75,13.65,13.65,31500,13.45
2014-11-28,13.71,13.71,13.65,13.68,25300,13.48
2014-11-26,13.63,13.67,13.60,13.65,49700,13.45
2014-11-25,13.57,13.65,13.56,13.60,59700,13.40
2014-11-24,13.70,13.71,13.59,13.60,41300,13.40
2014-11-21,13.75,13.79,13.68,13.68,43500,13.48
2014-11-20,13.80,13.84,13.75,13.75,47300,13.55
2014-11-19,13.79,13.84,13.77,13.78,44500,13.57
2014-11-18,13.79,13.83,13.75,13.83,60300,13.62
2014-11-17,13.75,13.82,13.72,13.80,61200,13.59
2014-11-14,13.68,13.90,13.68,13.73,148800,13.53
2014-11-13,13.39,13.62,13.36,13.62,100700,13.42
2014-11-12,13.36,13.43,13.33,13.41,34900,13.21
2014-11-11,13.38,13.44,13.38,13.40,18500,13.13
2014-11-10,13.35,13.43,13.35,13.41,19500,13.14
2014-11-07,13.42,13.45,13.38,13.42,18100,13.15
2014-11-06,13.38,13.41,13.32,13.39,42700,13.12
2014-11-05,13.32,13.38,13.29,13.37,19800,13.10
2014-11-04,13.30,13.34,13.29,13.32,28000,13.05
2014-11-03,13.31,13.35,13.27,13.30,60600,13.03
2014-10-31,13.31,13.31,13.20,13.28,61800,13.01
2014-10-30,13.25,13.28,13.21,13.25,57500,12.98
2014-10-29,13.22,13.28,13.21,13.24,60700,12.97
2014-10-28,13.28,13.28,13.21,13.22,43900,12.95
2014-10-27,13.26,13.27,13.21,13.21,33700,12.94
2014-10-24,13.26,13.32,13.22,13.25,32100,12.98
2014-10-23,13.38,13.40,13.27,13.30,46100,13.03
2014-10-22,13.36,13.41,13.35,13.38,25100,13.11
2014-10-21,13.40,13.43,13.36,13.39,49200,13.12
2014-10-20,13.40,13.44,13.40,13.42,13600,13.15
2014-10-17,13.49,13.54,13.34,13.36,67600,13.09
2014-10-16,13.34,13.47,13.24,13.46,57100,13.19
2014-10-15,13.23,13.35,13.23,13.34,74100,13.07
2014-10-14,13.22,13.27,13.18,13.22,47600,12.95
2014-10-13,13.22,13.30,13.22,13.27,32800,12.93
2014-10-10,13.35,13.38,13.20,13.21,40400,12.87
2014-10-09,13.39,13.40,13.32,13.34,42200,12.99
2014-10-08,13.31,13.39,13.31,13.37,52800,13.02
2014-10-07,13.18,13.30,13.13,13.30,66200,12.96
2014-10-06,13.12,13.19,13.12,13.14,54000,12.80
2014-10-03,13.08,13.13,13.08,13.09,20900,12.75
2014-10-02,13.15,13.15,13.07,13.10,78100,12.76
2014-10-01,13.07,13.14,13.07,13.12,65800,12.78
2014-09-30,13.08,13.08,12.98,13.03,53900,12.69
2014-09-29,12.98,13.04,12.94,13.04,41600,12.70
2014-09-26,12.95,13.00,12.91,12.98,60000,12.64
2014-09-25,12.99,13.00,12.97,12.99,19800,12.65
2014-09-24,12.94,12.97,12.93,12.94,37100,12.60
2014-09-23,12.92,12.98,12.92,12.96,43700,12.62
2014-09-22,12.99,12.99,12.92,12.93,43900,12.59
2014-09-19,12.97,12.99,12.93,12.98,28500,12.64
2014-09-18,12.95,12.98,12.93,12.95,35600,12.61
2014-09-17,12.90,12.95,12.90,12.93,69600,12.59
2014-09-16,12.92,12.94,12.89,12.91,52100,12.58
2014-09-15,12.95,13.02,12.94,12.94,34300,12.60
2014-09-12,13.00,13.03,12.94,12.94,43400,12.60
2014-09-11,13.05,13.07,13.00,13.00,29800,12.66
2014-09-10,13.14,13.14,13.10,13.11,31800,12.70
2014-09-09,13.16,13.16,13.10,13.11,50800,12.70
2014-09-08,13.20,13.22,13.13,13.13,29100,12.72
2014-09-05,13.21,13.22,13.16,13.20,39400,12.78
2014-09-04,13.17,13.17,13.11,13.15,66600,12.74
2014-09-03,13.11,13.18,13.11,13.15,45500,12.74
2014-09-02,13.09,13.18,13.09,13.15,62600,12.74
2014-08-29,13.19,13.19,13.13,13.15,70500,12.74
2014-08-28,13.16,13.18,13.12,13.16,55100,12.75
2014-08-27,13.17,13.20,13.11,13.17,66400,12.76
2014-08-26,13.18,13.19,13.11,13.15,78500,12.74
2014-08-25,13.19,13.28,13.11,13.11,128500,12.70
2014-08-22,13.33,13.33,13.17,13.21,193600,12.79
2014-08-21,13.37,13.41,13.37,13.38,17600,12.96
2014-08-20,13.39,13.42,13.36,13.37,36200,12.95
2014-08-19,13.43,13.43,13.37,13.39,16800,12.97
2014-08-18,13.46,13.46,13.36,13.38,23000,12.96
2014-08-15,13.44,13.51,13.40,13.40,37300,12.98
2014-08-14,13.42,13.44,13.41,13.43,9800,13.01
