Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,8.39,8.45,8.15,8.39,461000,8.39
2015-02-12,8.14,8.40,8.10,8.33,689700,8.33
2015-02-11,8.23,8.25,8.01,8.04,742800,8.04
2015-02-10,8.42,8.47,8.14,8.20,388200,8.20
2015-02-09,8.20,8.40,8.20,8.30,428700,8.30
2015-02-06,8.30,8.45,8.15,8.19,556400,8.19
2015-02-05,8.39,8.49,8.22,8.25,497400,8.25
2015-02-04,8.90,9.00,8.29,8.31,762000,8.31
2015-02-03,8.35,9.08,8.35,8.96,920200,8.96
2015-02-02,7.99,8.37,7.96,8.26,587500,8.26
2015-01-30,8.17,8.21,7.89,7.94,414600,7.94
2015-01-29,8.13,8.20,7.70,8.18,534100,8.18
2015-01-28,8.25,8.31,8.09,8.11,369800,8.11
2015-01-27,8.22,8.34,8.12,8.18,495500,8.18
2015-01-26,8.13,8.38,8.05,8.36,791000,8.36
2015-01-23,8.21,8.21,8.05,8.10,359400,8.10
2015-01-22,8.18,8.21,8.07,8.20,427500,8.20
2015-01-21,8.19,8.25,8.05,8.18,543500,8.18
2015-01-20,8.50,8.50,8.13,8.25,484400,8.25
2015-01-16,8.54,8.66,8.30,8.48,498300,8.48
2015-01-15,9.38,9.48,8.51,8.54,563300,8.54
2015-01-14,9.03,9.48,8.98,9.37,756600,9.37
2015-01-13,8.50,9.35,8.38,9.24,1129100,9.24
2015-01-12,8.49,8.55,8.02,8.34,603900,8.34
2015-01-09,8.32,8.59,8.26,8.51,326100,8.51
2015-01-08,8.24,8.32,8.09,8.30,527900,8.30
2015-01-07,8.57,8.59,8.03,8.16,848000,8.16
2015-01-06,8.75,8.88,8.23,8.49,750100,8.49
2015-01-05,9.05,9.12,8.72,8.75,901700,8.75
2015-01-02,9.22,9.32,8.81,9.24,619000,9.24
2014-12-31,9.42,9.45,9.09,9.22,679400,9.22
2014-12-30,9.48,9.57,9.40,9.48,1186900,9.48
2014-12-29,9.35,9.68,9.31,9.52,827200,9.52
2014-12-26,9.09,9.48,8.98,9.45,825900,9.45
2014-12-24,8.84,9.00,8.78,8.97,200600,8.97
2014-12-23,8.98,9.03,8.51,8.79,684300,8.79
2014-12-22,9.33,9.50,8.86,8.96,776300,8.96
2014-12-19,9.45,9.50,9.10,9.31,3863600,9.31
2014-12-18,9.02,9.48,8.77,9.45,1993800,9.45
2014-12-17,8.20,8.83,7.90,8.82,1422400,8.82
2014-12-16,8.10,8.85,8.04,8.15,1345400,8.15
2014-12-15,8.59,8.90,8.16,8.19,1265400,8.19
2014-12-12,7.93,8.39,7.42,8.08,1530900,8.08
2014-12-11,8.70,8.73,7.97,8.00,1276300,8.00
2014-12-10,9.04,9.05,8.50,8.60,717500,8.60
2014-12-09,8.85,9.20,8.50,9.14,594800,9.14
2014-12-08,10.00,10.02,9.03,9.12,776600,9.12
2014-12-05,9.27,10.15,9.27,10.03,889600,10.03
2014-12-04,9.25,9.47,9.00,9.27,433600,9.27
2014-12-03,8.75,9.56,8.64,9.45,1108800,9.45
2014-12-02,9.16,9.35,8.01,8.48,1837700,8.48
2014-12-01,10.02,10.09,9.02,9.03,1058200,9.03
2014-11-28,10.01,10.10,9.76,10.10,492800,10.10
2014-11-26,10.70,10.70,10.15,10.19,838600,10.19
2014-11-25,10.67,10.84,10.58,10.67,779000,10.67
2014-11-24,10.94,10.95,10.57,10.66,541900,10.66
2014-11-21,10.99,11.04,10.75,10.87,527200,10.87
2014-11-20,10.60,11.13,10.52,10.75,616900,10.75
2014-11-19,11.18,11.34,10.65,10.71,748600,10.71
2014-11-18,11.30,11.76,11.22,11.25,621200,11.25
2014-11-17,11.90,12.00,11.31,11.37,693700,11.37
2014-11-14,11.91,12.19,11.78,11.93,650600,11.93
2014-11-13,12.48,12.57,11.60,11.70,828100,11.70
2014-11-12,11.67,12.40,11.56,12.33,1521300,12.33
2014-11-11,13.00,13.00,11.18,11.42,4273500,11.42
2014-11-10,14.21,15.00,14.20,14.74,927000,14.74
2014-11-07,14.00,14.26,13.86,14.24,430400,14.24
2014-11-06,14.09,14.48,13.74,14.18,466400,14.18
2014-11-05,15.10,15.14,13.64,14.12,906400,14.12
2014-11-04,14.88,15.30,14.54,14.96,629300,14.96
2014-11-03,14.05,15.45,13.99,14.96,1023500,14.96
2014-10-31,13.99,14.35,13.71,14.08,645800,14.08
2014-10-30,14.04,14.19,13.61,13.75,351900,13.75
2014-10-29,14.21,14.21,13.57,13.72,233700,13.72
2014-10-28,13.66,14.14,13.65,14.03,375200,14.03
2014-10-27,14.10,14.70,13.60,13.74,906800,13.74
2014-10-24,13.01,13.83,13.01,13.64,343400,13.64
2014-10-23,13.49,13.55,12.88,13.07,325200,13.07
2014-10-22,13.97,13.97,13.10,13.16,552800,13.16
2014-10-21,12.81,13.68,12.56,13.66,536700,13.66
2014-10-20,12.48,12.94,12.12,12.53,476200,12.53
2014-10-17,12.32,13.68,12.26,12.61,1008700,12.61
2014-10-16,10.00,11.99,9.94,11.88,770700,11.88
2014-10-15,10.70,10.70,9.66,10.47,1348700,10.47
2014-10-14,11.10,11.45,10.56,10.78,1047600,10.78
2014-10-13,11.62,12.50,11.00,11.09,851100,11.09
2014-10-10,12.37,12.82,11.56,11.83,1123500,11.83
2014-10-09,13.65,14.00,12.24,12.37,1482000,12.37
2014-10-08,14.34,14.74,13.60,13.77,1165900,13.77
2014-10-07,12.95,14.65,12.77,13.93,2100400,13.93
2014-10-06,13.75,14.00,12.00,13.05,3151400,13.05
2014-10-03,15.30,15.30,13.52,13.75,3092300,13.75
2014-10-02,16.25,16.38,14.50,14.70,6265700,14.70
2014-10-01,17.01,18.71,16.01,16.01,24800200,16.01
