Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,13.77,13.77,13.68,13.68,27600,13.68
2015-02-12,13.73,13.75,13.72,13.75,39100,13.75
2015-02-11,13.86,13.86,13.68,13.73,72500,13.73
2015-02-10,13.90,13.90,13.80,13.86,41300,13.79
2015-02-09,13.94,13.94,13.88,13.90,31900,13.83
2015-02-06,13.96,14.00,13.89,13.91,25300,13.84
2015-02-05,14.01,14.09,14.00,14.00,31200,13.93
2015-02-04,14.08,14.08,14.00,14.02,38800,13.95
2015-02-03,14.18,14.19,14.08,14.11,42800,14.04
2015-02-02,14.19,14.22,14.11,14.18,54600,14.11
2015-01-30,14.12,14.17,14.10,14.16,31500,14.09
2015-01-29,14.09,14.12,14.06,14.08,34900,14.01
2015-01-28,13.97,14.11,13.97,14.11,29800,14.04
2015-01-27,13.94,13.98,13.92,13.97,24700,13.90
2015-01-26,13.89,13.92,13.86,13.91,58900,13.84
2015-01-23,13.93,13.93,13.87,13.88,49500,13.81
2015-01-22,13.92,13.94,13.90,13.93,22000,13.86
2015-01-21,13.93,13.95,13.90,13.90,22200,13.83
2015-01-20,13.92,13.96,13.92,13.92,18700,13.85
2015-01-16,14.01,14.04,13.93,13.93,31500,13.86
2015-01-15,13.99,14.04,13.97,13.99,64000,13.92
2015-01-14,13.96,14.00,13.87,13.97,106100,13.90
2015-01-13,13.90,14.00,13.90,13.97,35700,13.90
2015-01-12,13.85,13.93,13.85,13.93,29100,13.86
2015-01-09,13.79,13.93,13.79,13.92,41500,13.79
2015-01-08,13.86,13.90,13.79,13.85,22700,13.72
2015-01-07,13.81,13.91,13.81,13.90,40300,13.77
2015-01-06,13.83,13.87,13.80,13.82,72100,13.69
2015-01-05,13.75,13.79,13.74,13.79,18600,13.66
2015-01-02,13.65,13.73,13.61,13.69,35800,13.56
2014-12-31,13.63,13.68,13.61,13.67,47100,13.54
2014-12-30,13.54,13.63,13.54,13.62,73800,13.49
2014-12-29,13.58,13.59,13.55,13.55,43600,13.42
2014-12-26,13.57,13.64,13.56,13.63,36300,13.50
2014-12-24,13.54,13.64,13.54,13.58,32900,13.45
2014-12-23,13.57,13.67,13.55,13.61,85100,13.48
2014-12-22,13.62,13.62,13.53,13.58,53000,13.45
2014-12-19,13.57,13.62,13.53,13.58,76600,13.45
2014-12-18,13.64,13.64,13.55,13.57,48800,13.44
2014-12-17,13.59,13.62,13.57,13.60,36200,13.47
2014-12-16,13.62,13.63,13.60,13.62,60400,13.49
2014-12-15,13.56,13.62,13.56,13.61,39300,13.48
2014-12-12,13.51,13.61,13.51,13.58,69700,13.45
2014-12-11,13.65,13.65,13.55,13.56,28000,13.36
2014-12-10,13.57,13.62,13.56,13.60,62200,13.40
2014-12-09,13.51,13.55,13.50,13.55,61800,13.35
2014-12-08,13.51,13.54,13.49,13.52,67800,13.32
2014-12-05,13.53,13.53,13.48,13.52,55400,13.32
2014-12-04,13.58,13.63,13.52,13.52,74900,13.32
2014-12-03,13.59,13.60,13.51,13.60,58600,13.40
2014-12-02,13.49,13.55,13.48,13.55,39400,13.35
2014-12-01,13.54,13.54,13.48,13.48,38900,13.28
2014-11-28,13.48,13.52,13.44,13.52,20800,13.32
2014-11-26,13.45,13.48,13.43,13.44,26800,13.24
2014-11-25,13.41,13.44,13.37,13.44,67800,13.24
2014-11-24,13.40,13.43,13.38,13.42,32000,13.23
2014-11-21,13.43,13.43,13.35,13.40,40700,13.21
2014-11-20,13.44,13.46,13.35,13.38,55200,13.19
2014-11-19,13.45,13.45,13.35,13.37,36500,13.18
2014-11-18,13.48,13.48,13.39,13.39,33000,13.20
2014-11-17,13.51,13.51,13.41,13.44,36600,13.24
2014-11-14,13.49,13.50,13.45,13.50,36800,13.30
2014-11-13,13.44,13.48,13.43,13.47,30300,13.27
2014-11-12,13.38,13.46,13.38,13.46,18900,13.26
2014-11-11,13.42,13.48,13.41,13.48,69300,13.22
2014-11-10,13.49,13.51,13.43,13.43,31800,13.17
2014-11-07,13.49,13.53,13.49,13.49,50200,13.23
2014-11-06,13.49,13.52,13.49,13.51,18300,13.25
2014-11-05,13.49,13.52,13.46,13.51,20800,13.25
2014-11-04,13.51,13.55,13.49,13.54,45100,13.28
2014-11-03,13.51,13.55,13.45,13.51,75700,13.25
2014-10-31,13.56,13.56,13.49,13.56,46400,13.30
2014-10-30,13.50,13.55,13.50,13.55,18600,13.29
2014-10-29,13.63,13.64,13.50,13.50,65300,13.24
2014-10-28,13.55,13.61,13.54,13.61,43000,13.35
2014-10-27,13.51,13.54,13.50,13.50,30400,13.24
2014-10-24,13.60,13.61,13.49,13.49,21000,13.23
2014-10-23,13.65,13.65,13.54,13.54,9700,13.28
2014-10-22,13.61,13.64,13.57,13.62,44600,13.36
2014-10-21,13.75,13.75,13.63,13.63,37300,13.37
2014-10-20,13.66,13.75,13.63,13.71,60800,13.44
2014-10-17,13.67,13.70,13.60,13.64,27500,13.38
