Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.60,25.72,25.56,25.72,4800,25.72
2015-02-12,25.66,25.72,25.60,25.71,8400,25.71
2015-02-11,25.37,25.66,25.37,25.66,19700,25.66
2015-02-10,25.56,25.67,25.07,25.60,9800,25.60
2015-02-09,25.56,25.70,25.53,25.61,9100,25.61
2015-02-06,25.60,25.66,25.55,25.55,11500,25.55
2015-02-05,25.75,25.75,25.65,25.69,12400,25.69
2015-02-04,25.75,25.77,25.62,25.68,3900,25.68
2015-02-03,25.70,25.78,25.64,25.66,234000,25.66
2015-02-02,25.55,25.68,25.52,25.63,22500,25.63
2015-01-30,25.70,25.82,25.55,25.55,8700,25.55
2015-01-29,25.63,25.75,25.63,25.73,6000,25.73
2015-01-28,25.57,25.75,25.50,25.74,9400,25.74
2015-01-27,25.69,25.69,25.50,25.64,12800,25.64
2015-01-26,25.75,25.80,25.50,25.69,19300,25.69
2015-01-23,25.82,25.85,25.60,25.66,12400,25.66
2015-01-22,25.65,25.85,25.56,25.72,16200,25.72
2015-01-21,25.54,25.65,25.29,25.56,13900,25.56
2015-01-20,25.37,25.52,25.02,25.49,32700,25.49
2015-01-16,25.22,25.49,25.20,25.49,13700,25.49
2015-01-15,25.27,25.38,25.15,25.34,26900,25.34
2015-01-14,25.34,25.49,25.28,25.33,104400,25.33
2015-01-13,25.35,25.35,25.12,25.22,59300,25.22
2015-01-12,25.11,25.28,25.11,25.24,16300,25.24
2015-01-09,25.03,25.29,25.03,25.22,109700,25.22
2015-01-08,24.99,25.10,24.71,25.10,190600,25.10
2015-01-07,24.80,25.00,24.80,24.99,54200,24.99
2015-01-06,24.70,24.79,24.48,24.78,5400,24.78
2015-01-05,24.90,24.90,24.52,24.58,6200,24.58
2015-01-02,24.56,24.91,24.46,24.84,14800,24.84
2014-12-31,24.60,24.78,24.50,24.70,12800,24.70
2014-12-30,24.32,24.62,24.28,24.60,5800,24.60
2014-12-29,24.39,24.64,24.31,24.48,20700,24.48
2014-12-26,24.28,24.39,24.05,24.39,7500,24.39
2014-12-24,24.25,24.37,23.91,24.18,7900,24.18
2014-12-23,24.00,24.37,24.00,24.36,5700,24.36
2014-12-22,24.23,24.55,24.23,24.32,5500,24.32
2014-12-19,24.24,24.29,24.19,24.25,18700,24.25
2014-12-18,24.25,24.25,24.16,24.23,12600,24.23
2014-12-17,24.15,24.25,24.01,24.25,16800,24.25
2014-12-16,24.23,24.25,24.09,24.10,4600,24.10
2014-12-15,24.23,24.23,24.01,24.10,4700,24.10
2014-12-12,24.13,24.24,24.10,24.14,6400,24.14
2014-12-11,24.24,24.25,24.18,24.22,9400,24.22
2014-12-10,24.02,24.24,23.96,24.22,5200,24.22
2014-12-09,24.24,24.24,24.10,24.18,3400,24.18
2014-12-08,24.32,24.34,24.15,24.26,15900,24.26
2014-12-05,24.41,24.52,24.35,24.38,7500,24.38
2014-12-04,24.80,24.87,24.30,24.36,17400,24.36
2014-12-03,24.82,24.82,24.72,24.75,24300,24.75
2014-12-02,24.71,24.93,24.71,24.92,8900,24.92
2014-12-01,24.90,24.95,24.82,24.83,4500,24.83
2014-11-28,24.79,24.98,24.79,24.96,6500,24.96
2014-11-26,24.79,24.89,24.78,24.86,12000,24.86
2014-11-25,24.92,25.00,24.92,25.00,7200,24.66
2014-11-24,24.83,24.98,24.83,24.98,11300,24.64
2014-11-21,24.79,24.88,24.66,24.84,170300,24.50
2014-11-20,24.81,24.93,24.75,24.77,10900,24.43
2014-11-19,24.80,24.92,24.80,24.89,5400,24.55
2014-11-18,24.97,24.97,24.80,24.80,14400,24.46
2014-11-17,24.97,24.97,24.88,24.93,12300,24.59
2014-11-14,24.87,24.96,24.85,24.93,7300,24.59
2014-11-13,24.86,24.98,24.85,24.92,29200,24.58
2014-11-12,24.82,24.94,24.82,24.83,12000,24.49
2014-11-11,24.79,24.90,24.79,24.90,6100,24.56
2014-11-10,24.75,24.85,24.75,24.84,6400,24.50
2014-11-07,24.61,24.87,24.61,24.86,8500,24.52
2014-11-06,24.61,24.80,24.60,24.71,7400,24.37
2014-11-05,24.71,24.71,24.54,24.61,11800,24.27
2014-11-04,24.62,24.80,24.61,24.80,8800,24.46
2014-11-03,24.61,24.79,24.60,24.65,15000,24.31
2014-10-31,24.44,24.63,24.44,24.63,17700,24.29
2014-10-30,24.42,24.59,24.26,24.52,6200,24.19
2014-10-29,24.49,24.62,24.47,24.53,6300,24.20
2014-10-28,24.50,24.66,24.50,24.56,358000,24.23
2014-10-27,24.53,24.62,24.42,24.54,5900,24.21
2014-10-24,24.62,24.78,24.55,24.63,12300,24.29
2014-10-23,24.56,24.62,24.56,24.62,4800,24.28
2014-10-22,24.66,24.74,24.35,24.41,20900,24.08
2014-10-21,24.24,24.64,24.24,24.59,18700,24.25
2014-10-20,24.25,24.35,24.07,24.30,13000,23.97
2014-10-17,23.88,24.33,23.88,24.00,54800,23.67
2014-10-16,24.34,24.34,23.89,24.33,4300,24.00
2014-10-15,24.05,24.32,24.02,24.23,10300,23.90
2014-10-14,24.04,24.13,24.03,24.13,3800,23.80
2014-10-13,23.90,23.97,23.80,23.95,2800,23.62
2014-10-10,24.00,24.02,23.82,23.90,8000,23.57
2014-10-09,24.16,24.17,24.08,24.08,3000,23.75
2014-10-08,24.00,24.37,23.98,24.29,7700,23.96
2014-10-07,24.34,24.34,23.94,24.08,43700,23.75
2014-10-06,24.18,24.38,24.16,24.34,8100,24.01
2014-10-03,24.11,24.27,24.11,24.15,6500,23.82
2014-10-02,23.98,24.34,23.86,24.07,2700,23.74
2014-10-01,24.06,24.19,24.00,24.01,13900,23.68
2014-09-30,23.57,24.32,23.57,24.09,22200,23.76
2014-09-29,23.43,23.69,23.43,23.61,13300,23.29
2014-09-26,23.42,23.67,23.33,23.62,7500,23.30
2014-09-25,23.38,23.49,23.31,23.48,15700,23.16
2014-09-24,23.49,23.56,23.42,23.51,1169300,23.19
2014-09-23,23.53,23.70,23.46,23.56,26300,23.24
2014-09-22,23.73,23.73,23.65,23.69,19000,23.37
2014-09-19,23.73,23.82,23.69,23.72,6100,23.40
2014-09-18,23.73,23.83,23.70,23.79,14100,23.47
2014-09-17,23.87,23.89,23.66,23.70,7900,23.38
2014-09-16,23.90,23.90,23.67,23.72,12500,23.40
2014-09-15,23.78,23.93,23.67,23.80,11800,23.48
2014-09-12,23.66,23.71,23.65,23.65,6300,23.33
2014-09-11,23.71,23.90,23.70,23.79,7700,23.47
2014-09-10,23.65,23.78,23.60,23.75,14400,23.43
2014-09-09,23.72,23.84,23.61,23.73,45100,23.41
2014-09-08,23.79,23.84,23.76,23.84,2500,23.51
