Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,43.26,44.17,43.21,43.59,176600,43.59
2015-02-12,42.69,43.17,42.69,43.12,145100,43.12
2015-02-11,42.71,42.82,42.12,42.38,60100,42.38
2015-02-10,42.84,43.01,42.30,42.84,101800,42.84
2015-02-09,43.48,43.68,42.65,42.79,124000,42.79
2015-02-06,43.46,44.44,43.42,43.68,170500,43.68
2015-02-05,42.49,43.45,42.49,43.33,106400,43.33
2015-02-04,42.89,43.21,42.27,42.29,95500,42.29
2015-02-03,42.58,43.52,42.39,42.97,161200,42.97
2015-02-02,40.76,42.21,40.76,42.21,180200,42.21
2015-01-30,41.37,41.72,40.57,40.68,186600,40.68
2015-01-29,41.77,42.73,41.12,41.74,184700,41.74
2015-01-28,43.40,44.70,41.88,42.04,150700,41.66
2015-01-27,43.17,43.53,42.86,43.10,141800,42.71
2015-01-26,43.07,43.60,42.45,43.54,144100,43.15
2015-01-23,43.68,44.15,42.65,43.18,150200,42.79
2015-01-22,42.52,43.98,42.22,43.72,208000,43.32
2015-01-21,42.87,43.48,41.91,42.13,145200,41.75
2015-01-20,43.74,44.08,42.77,42.90,228300,42.51
2015-01-16,42.65,43.76,41.79,43.65,250300,43.26
2015-01-15,44.61,44.61,43.37,43.57,162200,43.18
2015-01-14,44.23,44.69,43.36,44.33,146300,43.93
2015-01-13,45.71,46.31,44.36,44.89,178500,44.48
2015-01-12,45.38,45.87,45.08,45.22,201200,44.81
2015-01-09,47.10,47.10,45.47,45.52,100200,45.11
2015-01-08,46.84,47.44,46.59,47.15,103300,46.72
2015-01-07,46.51,46.93,46.06,46.53,110200,46.11
2015-01-06,47.39,47.46,46.11,46.22,127500,45.80
2015-01-05,47.99,47.99,47.20,47.37,140900,46.94
2015-01-02,49.38,49.45,47.66,48.44,94600,48.00
2014-12-31,49.62,50.00,48.96,49.02,93300,48.58
2014-12-30,49.17,49.90,49.17,49.68,56600,49.23
2014-12-29,49.10,49.93,49.10,49.57,95700,49.12
2014-12-26,48.94,49.32,48.42,49.06,67000,48.62
2014-12-24,48.96,49.17,48.41,48.76,44300,48.32
2014-12-23,48.69,49.37,48.57,49.06,74600,48.62
2014-12-22,47.78,48.44,47.69,48.41,90700,47.97
2014-12-19,48.41,48.57,47.71,47.85,469100,47.42
2014-12-18,48.13,48.61,47.91,48.51,158700,48.07
2014-12-17,46.27,47.63,45.75,47.62,159400,47.19
2014-12-16,46.05,47.08,45.97,46.27,174000,45.85
2014-12-15,47.52,47.52,46.00,46.13,143800,45.71
2014-12-12,47.02,47.65,46.76,46.95,132500,46.53
2014-12-11,47.95,48.53,47.50,47.58,141000,47.15
2014-12-10,49.52,49.75,47.73,47.76,145700,47.33
2014-12-09,48.42,49.87,48.24,49.75,139200,49.30
2014-12-08,49.25,50.00,48.82,49.07,99200,48.63
2014-12-05,48.53,49.92,48.43,49.47,106000,49.02
2014-12-04,49.36,49.36,48.30,48.50,86300,48.06
2014-12-03,48.06,48.88,47.93,48.68,124000,48.24
2014-12-02,47.47,48.64,47.47,48.12,117100,47.69
2014-12-01,48.38,48.96,47.34,47.40,148500,46.97
2014-11-28,49.50,49.61,48.47,48.60,75900,48.16
