Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,3.37,4.45,3.23,4.40,590600,4.40
2015-02-12,3.37,3.38,3.36,3.38,600,3.38
2015-02-11,3.30,3.32,3.18,3.30,10700,3.30
2015-02-10,3.30,3.30,3.19,3.25,5100,3.25
2015-02-09,3.32,3.40,3.23,3.38,4800,3.38
2015-02-06,3.38,3.40,3.16,3.24,26300,3.24
2015-02-05,3.33,3.55,3.21,3.47,39500,3.47
2015-02-04,3.48,3.59,3.33,3.33,49400,3.33
2015-02-03,3.33,3.49,3.18,3.48,10200,3.48
2015-02-02,3.33,3.33,3.20,3.32,900,3.32
2015-01-30,3.21,3.34,3.21,3.34,2200,3.34
2015-01-29,3.18,3.33,3.12,3.12,9000,3.12
2015-01-28,3.30,3.32,3.13,3.13,17800,3.13
2015-01-27,3.28,3.30,3.10,3.17,13900,3.17
2015-01-26,3.15,3.28,3.15,3.23,2500,3.23
2015-01-23,3.07,3.32,3.07,3.10,5800,3.10
2015-01-22,3.05,3.32,3.05,3.08,19800,3.08
2015-01-21,3.46,3.46,3.10,3.16,17000,3.16
2015-01-20,3.49,3.55,3.14,3.30,50200,3.30
2015-01-16,3.36,3.58,3.35,3.50,3100,3.50
2015-01-15,3.40,3.59,3.40,3.57,4800,3.57
2015-01-14,3.63,3.64,3.48,3.64,6700,3.64
2015-01-13,3.66,3.68,3.48,3.66,12400,3.66
2015-01-12,3.67,3.68,3.41,3.62,33600,3.62
2015-01-09,3.44,3.61,3.34,3.53,64600,3.53
2015-01-08,3.34,3.41,3.11,3.35,19300,3.35
2015-01-07,3.45,3.45,3.10,3.33,10300,3.33
2015-01-06,3.37,3.47,3.30,3.40,22300,3.40
2015-01-05,3.27,3.49,3.17,3.33,23000,3.33
2015-01-02,3.05,3.33,2.95,3.19,24400,3.19
2014-12-31,3.21,3.28,2.85,3.00,298100,3.00
2014-12-30,3.24,3.25,3.15,3.15,5300,3.15
2014-12-29,3.24,3.36,3.10,3.20,12700,3.20
2014-12-26,3.31,3.34,3.20,3.23,8400,3.23
2014-12-24,3.32,3.37,3.25,3.30,10300,3.30
2014-12-23,3.45,3.45,3.21,3.33,26400,3.33
2014-12-22,3.20,3.50,3.20,3.45,14900,3.45
2014-12-19,3.48,3.49,3.10,3.16,62700,3.16
2014-12-18,3.49,3.50,3.18,3.18,33700,3.18
2014-12-17,3.35,3.47,3.16,3.26,487000,3.26
2014-12-16,3.46,3.54,3.25,3.32,130800,3.32
2014-12-15,3.50,3.72,3.45,3.50,30200,3.50
2014-12-12,3.49,3.58,3.36,3.51,13100,3.51
2014-12-11,3.29,3.57,3.29,3.54,24000,3.54
2014-12-10,3.55,3.58,3.38,3.49,55800,3.49
2014-12-09,3.38,3.63,3.38,3.59,22100,3.59
2014-12-08,3.44,3.61,3.44,3.49,25400,3.49
2014-12-05,3.46,3.64,3.40,3.51,47600,3.51
2014-12-04,3.64,3.73,3.48,3.50,221800,3.50
2014-12-03,3.53,3.90,3.48,3.50,178700,3.50
2014-12-02,3.65,3.70,3.42,3.53,127200,3.53
2014-12-01,3.93,3.93,3.60,3.70,56600,3.70
2014-11-28,3.76,3.90,3.70,3.76,52300,3.76
2014-11-26,4.03,4.03,3.71,3.96,39400,3.96
2014-11-25,3.69,4.02,3.67,3.80,83400,3.80
2014-11-24,3.99,4.02,3.68,3.72,38200,3.72
2014-11-21,3.90,4.00,3.85,3.98,32200,3.98
2014-11-20,4.15,4.15,3.66,3.83,38400,3.83
2014-11-19,3.98,3.98,3.84,3.87,3500,3.87
2014-11-18,3.89,4.19,3.89,3.89,41200,3.89
2014-11-17,4.18,4.18,3.86,3.86,118600,3.86
2014-11-14,4.10,4.10,3.99,4.06,88000,4.06
2014-11-13,4.08,4.10,3.95,4.00,81000,4.00
2014-11-12,4.13,4.28,3.98,4.02,84400,4.02
2014-11-11,4.01,4.20,3.95,4.10,81800,4.10
2014-11-10,4.17,4.20,3.92,3.99,38300,3.99
2014-11-07,4.17,4.25,4.17,4.20,21300,4.20
2014-11-06,4.09,4.15,3.89,4.15,83900,4.15
2014-11-05,4.24,4.24,3.90,4.05,56900,4.05
2014-11-04,4.03,4.22,4.00,4.08,23600,4.08
2014-11-03,4.25,4.31,4.02,4.05,36000,4.05
2014-10-31,4.32,4.32,4.09,4.29,78500,4.29
2014-10-30,4.00,4.33,4.00,4.32,39500,4.32
2014-10-29,4.27,4.34,4.04,4.29,161500,4.29
2014-10-28,4.17,4.30,4.02,4.30,59100,4.30
2014-10-27,3.99,4.25,3.65,4.02,62000,4.02
2014-10-24,3.80,4.20,3.80,4.10,109000,4.10
2014-10-23,3.33,3.80,3.25,3.65,115900,3.65
2014-10-22,3.44,3.44,3.25,3.32,20700,3.32
2014-10-21,3.29,3.47,3.29,3.39,17100,3.39
2014-10-20,3.37,3.53,3.25,3.25,19400,3.25
2014-10-17,3.07,3.39,3.06,3.23,71100,3.23
2014-10-16,3.21,3.25,3.05,3.05,85800,3.05
2014-10-15,3.23,3.34,2.95,3.10,60100,3.10
2014-10-14,3.59,3.59,3.17,3.28,91300,3.28
2014-10-13,3.63,3.83,3.33,3.67,30900,3.67
2014-10-10,3.87,3.95,3.35,3.80,56000,3.80
2014-10-09,3.82,3.94,3.74,3.79,40100,3.79
2014-10-08,4.30,4.30,3.70,3.85,126200,3.85
2014-10-07,4.48,4.48,4.00,4.28,100200,4.28
2014-10-06,4.18,4.64,3.75,4.60,623400,4.60
2014-10-03,4.89,5.25,4.17,4.25,3393100,4.25
2014-10-02,4.38,4.70,4.15,4.63,209200,4.63
2014-10-01,4.35,4.42,4.21,4.38,39800,4.38
