Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,8.87,8.99,8.84,8.94,4270500,8.94
2015-02-12,8.87,8.89,8.75,8.88,4183200,8.88
2015-02-11,8.81,8.89,8.75,8.83,4229700,8.83
2015-02-10,8.80,8.84,8.69,8.83,6619100,8.83
2015-02-09,8.59,8.84,8.54,8.80,9727200,8.80
2015-02-06,8.48,8.59,8.43,8.58,4868600,8.58
2015-02-05,8.54,8.62,8.43,8.48,6563200,8.48
2015-02-04,8.48,8.58,8.45,8.49,4981300,8.49
2015-02-03,8.21,8.56,8.21,8.54,9801400,8.54
2015-02-02,7.98,8.25,7.94,8.21,8104200,8.21
2015-01-30,8.07,8.10,7.86,7.95,13094900,7.95
2015-01-29,8.10,8.14,8.01,8.13,4124800,8.13
2015-01-28,8.24,8.28,8.10,8.10,4093400,8.10
2015-01-27,8.20,8.27,8.12,8.18,5036800,8.18
2015-01-26,8.26,8.29,8.11,8.25,4211900,8.25
2015-01-23,8.26,8.34,8.20,8.23,6034800,8.23
2015-01-22,8.35,8.39,8.23,8.28,6153900,8.28
2015-01-21,8.28,8.39,8.19,8.34,4652000,8.34
2015-01-20,8.47,8.49,8.26,8.32,6300700,8.32
2015-01-16,8.39,8.51,8.37,8.44,6142100,8.44
2015-01-15,8.58,8.59,8.37,8.38,8713100,8.38
2015-01-14,8.29,8.52,8.27,8.45,6645100,8.45
2015-01-13,8.40,8.53,8.24,8.35,8225300,8.35
2015-01-12,8.30,8.43,8.28,8.32,10680500,8.32
2015-01-09,8.35,8.37,8.08,8.12,6968400,8.12
2015-01-08,8.16,8.38,8.12,8.30,6300200,8.30
2015-01-07,8.15,8.18,8.00,8.09,8318100,8.09
2015-01-06,8.11,8.23,7.97,8.10,12186600,8.10
2015-01-05,8.28,8.32,8.01,8.11,9051400,8.11
2015-01-02,8.29,8.39,8.20,8.30,5759800,8.30
2014-12-31,8.27,8.35,8.22,8.24,7108300,8.24
2014-12-30,8.42,8.46,8.26,8.27,7350300,8.27
2014-12-29,8.58,8.60,8.42,8.47,6372900,8.47
2014-12-26,8.81,8.89,8.75,8.84,6091900,8.59
2014-12-24,8.81,8.86,8.68,8.74,3633700,8.49
2014-12-23,8.87,8.99,8.74,8.75,7653500,8.50
2014-12-22,8.65,8.84,8.65,8.83,8711500,8.58
2014-12-19,8.75,8.89,8.61,8.63,16667400,8.39
2014-12-18,8.55,8.82,8.47,8.75,13617700,8.50
2014-12-17,8.74,8.99,8.66,8.90,8329600,8.65
2014-12-16,8.54,8.86,8.45,8.68,8539000,8.43
2014-12-15,8.53,8.56,8.33,8.50,8558500,8.26
2014-12-12,9.01,9.07,8.44,8.47,21292100,8.23
2014-12-11,9.30,9.44,9.16,9.38,7340500,9.11
2014-12-10,9.43,9.43,9.15,9.20,6811500,8.94
2014-12-09,9.46,9.52,9.19,9.45,7656100,9.18
2014-12-08,9.69,9.74,9.50,9.52,5356000,9.25
2014-12-05,9.65,9.77,9.61,9.70,5964500,9.43
2014-12-04,9.80,9.81,9.55,9.71,6746500,9.44
2014-12-03,10.00,10.03,9.81,9.83,5360900,9.55
2014-12-02,10.04,10.11,10.00,10.02,3514700,9.74
2014-12-01,10.05,10.11,9.99,10.04,4506900,9.76
2014-11-28,10.15,10.15,10.05,10.11,2301100,9.82
2014-11-26,10.02,10.19,10.02,10.08,4948200,9.79
2014-11-25,9.94,10.04,9.81,10.02,5033400,9.74
2014-11-24,9.95,9.97,9.80,9.93,4333500,9.65
2014-11-21,9.92,10.02,9.77,9.95,6886000,9.67
2014-11-20,9.77,9.88,9.75,9.85,3510900,9.57
2014-11-19,9.78,9.84,9.71,9.83,6358700,9.55
2014-11-18,9.78,9.80,9.74,9.76,4991300,9.48
2014-11-17,9.70,9.78,9.56,9.77,4284500,9.49
2014-11-14,9.72,9.79,9.71,9.73,5982500,9.45
2014-11-13,9.69,9.82,9.69,9.74,4546600,9.46
2014-11-12,9.46,9.70,9.45,9.69,5475400,9.42
2014-11-11,9.48,9.56,9.46,9.51,8645600,9.24
2014-11-10,9.59,9.62,9.36,9.49,8706800,9.22
2014-11-07,9.59,9.65,9.28,9.55,11888800,9.28
2014-11-06,10.20,10.24,9.52,9.67,18034700,9.40
2014-11-05,10.42,10.49,10.30,10.49,6643100,10.19
2014-11-04,10.53,10.58,10.39,10.40,4687700,10.11
2014-11-03,10.49,10.63,10.42,10.57,5399500,10.27
2014-10-31,10.57,10.60,10.35,10.48,6863400,10.18
2014-10-30,10.43,10.50,10.31,10.49,3266400,10.19
2014-10-29,10.36,10.51,10.31,10.43,4383400,10.14
2014-10-28,10.17,10.36,10.12,10.36,6826600,10.07
2014-10-27,10.20,10.30,10.13,10.13,5704200,9.84
2014-10-24,10.20,10.24,10.12,10.21,5857800,9.92
2014-10-23,10.27,10.34,10.15,10.20,5674700,9.91
2014-10-22,10.25,10.41,10.23,10.25,5610800,9.96
2014-10-21,10.11,10.29,10.06,10.21,4865900,9.92
2014-10-20,9.77,10.11,9.77,10.11,4729700,9.82
2014-10-17,10.21,10.27,9.98,10.08,6276100,9.79
2014-10-16,9.85,10.10,9.72,10.03,6081900,9.75
2014-10-15,10.04,10.11,9.61,9.98,8184100,9.70
2014-10-14,9.95,10.07,9.65,10.05,9420500,9.77
2014-10-13,10.14,10.21,9.95,9.95,8753700,9.67
2014-10-10,10.36,10.42,10.09,10.12,6950100,9.83
2014-10-09,10.81,10.81,10.32,10.33,7086900,10.04
2014-10-08,10.61,10.80,10.45,10.80,6524800,10.49
2014-10-07,10.61,10.74,10.55,10.59,6197300,10.29
2014-10-06,10.93,10.94,10.59,10.61,5511700,10.31
2014-10-03,10.72,10.97,10.69,10.94,5067300,10.63
