Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,9.97,10.02,9.92,9.92,103000,9.92
2015-02-12,9.92,9.98,9.92,9.93,30500,9.93
2015-02-11,9.97,9.98,9.88,9.88,66500,9.88
2015-02-10,9.96,10.00,9.96,10.00,16600,10.00
2015-02-09,9.96,10.01,9.95,10.01,22700,10.01
2015-02-06,9.94,9.98,9.93,9.96,55200,9.96
2015-02-05,9.95,9.97,9.89,9.91,49900,9.91
2015-02-04,9.99,9.99,9.94,9.99,9100,9.99
2015-02-03,9.95,9.99,9.94,9.98,27900,9.98
2015-02-02,9.89,10.29,9.89,9.97,20800,9.97
2015-01-30,9.95,9.96,9.86,9.89,84800,9.89
2015-01-29,9.98,9.99,9.90,9.95,90300,9.95
2015-01-28,10.06,10.06,9.90,9.90,19400,9.90
2015-01-27,10.18,10.18,10.00,10.00,60900,10.00
2015-01-26,10.25,10.30,10.20,10.24,19000,10.24
2015-01-23,10.26,10.35,10.25,10.25,15700,10.25
2015-01-22,10.24,10.40,10.21,10.21,20300,10.21
2015-01-21,10.26,10.37,10.18,10.21,11800,10.21
2015-01-20,10.34,10.35,10.26,10.30,15500,10.30
2015-01-16,10.25,10.25,10.25,10.25,600,10.25
2015-01-15,10.30,10.30,10.30,10.30,1100,10.30
2015-01-14,10.25,10.26,10.18,10.18,7700,10.18
2015-01-13,10.35,10.35,10.25,10.35,12600,10.35
2015-01-12,10.27,10.30,10.27,10.30,1300,10.30
2015-01-09,10.25,10.25,10.25,10.25,000,10.25
2015-01-08,10.30,10.45,10.25,10.25,10800,10.25
2015-01-07,10.35,10.35,10.23,10.23,900,10.23
2015-01-06,10.30,10.35,9.83,10.17,21600,10.17
2015-01-05,10.30,10.30,10.25,10.30,300,10.30
2015-01-02,10.26,10.26,10.26,10.26,000,10.26
2014-12-31,10.35,10.35,10.26,10.26,500,10.26
2014-12-30,10.25,10.36,10.25,10.35,2200,10.35
2014-12-29,10.35,10.35,10.35,10.35,100,10.35
2014-12-26,10.35,10.35,10.23,10.35,500,10.35
2014-12-24,10.35,10.35,10.35,10.35,000,10.35
2014-12-23,10.30,10.35,10.30,10.35,2300,10.35
2014-12-22,10.20,10.35,10.14,10.33,17800,10.33
2014-12-18,10.30,10.50,10.08,10.34,26900,10.34
2014-12-17,10.59,10.59,10.13,10.56,6900,10.56
2014-12-16,10.46,10.49,10.44,10.49,2300,10.49
2014-12-15,10.41,10.83,10.30,10.40,4400,10.40
2014-12-12,10.60,11.02,10.35,10.75,36700,10.75
2014-12-11,10.54,10.54,10.54,10.54,300,10.54
2014-12-10,10.39,10.77,10.35,10.48,4100,10.48
2014-12-09,10.30,10.32,10.15,10.32,19300,10.32
2014-12-08,10.27,10.30,10.27,10.30,1300,10.30
2014-12-05,10.31,10.33,10.20,10.33,1500,10.33
2014-12-04,10.30,10.30,10.14,10.14,7200,10.14
2014-12-03,10.28,10.29,10.24,10.25,4100,10.25
