Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,46.67,46.98,46.26,46.64,19800,46.64
2015-02-12,46.05,47.50,45.99,46.65,23200,46.65
2015-02-11,47.02,47.02,46.27,46.34,15300,46.04
2015-02-10,46.94,46.94,46.61,46.66,8900,46.36
2015-02-09,47.80,47.86,46.81,46.86,10400,46.56
2015-02-06,47.83,48.50,47.65,48.02,18600,47.71
2015-02-05,47.28,48.53,47.11,48.03,20500,47.72
2015-02-04,47.68,47.99,46.70,47.49,28100,47.18
2015-02-03,47.10,47.91,47.10,47.64,15400,47.33
2015-02-02,45.38,47.08,45.38,46.99,21600,46.69
2015-01-30,48.67,48.67,45.62,45.83,43200,45.53
2015-01-29,48.27,48.97,47.59,48.67,18700,48.35
2015-01-28,49.00,49.03,47.74,47.91,31100,47.60
2015-01-27,48.60,49.66,48.60,49.00,20100,48.68
2015-01-26,48.98,49.46,48.72,49.33,19100,49.01
2015-01-23,48.38,49.67,48.38,49.31,23700,48.99
2015-01-22,47.53,48.57,47.53,48.52,13700,48.21
2015-01-21,47.64,48.03,47.20,47.43,26000,47.12
2015-01-20,47.72,47.97,46.90,47.54,19400,47.23
2015-01-16,47.19,48.15,47.19,48.13,18000,47.82
2015-01-15,47.42,47.93,47.01,47.49,21100,47.18
2015-01-14,47.09,48.09,46.72,47.42,30900,47.11
2015-01-13,46.84,48.29,46.84,47.75,30800,47.44
2015-01-12,46.67,47.54,46.67,47.21,12900,46.90
2015-01-09,46.99,47.62,46.50,46.96,18300,46.66
2015-01-08,46.45,47.25,46.42,47.12,18300,46.81
2015-01-07,46.00,46.92,45.88,46.45,23400,46.15
2015-01-06,47.01,47.01,45.68,46.04,16600,45.74
2015-01-05,46.88,47.56,46.49,46.85,21800,46.55
2015-01-02,48.00,48.36,46.65,47.35,18700,47.04
2014-12-31,48.84,48.84,47.70,47.82,14200,47.51
2014-12-30,47.84,48.95,47.84,48.42,17800,48.11
2014-12-29,47.48,47.87,47.27,47.77,26100,47.46
2014-12-26,47.62,47.88,46.84,47.32,13000,47.01
2014-12-24,47.48,47.73,47.02,47.26,17700,46.95
2014-12-23,47.19,47.88,46.85,47.51,15600,47.20
2014-12-22,46.86,47.41,46.82,47.25,16200,46.94
