Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,85.84,86.16,85.32,85.81,5597000,85.81
2015-02-12,86.56,86.68,85.23,85.89,6941600,85.89
2015-02-11,86.63,87.12,85.92,86.34,5853100,86.34
2015-02-10,86.62,87.41,86.42,87.29,5732100,87.29
2015-02-09,86.97,87.19,85.64,85.91,5456200,85.91
2015-02-06,87.26,88.00,86.78,87.33,5550700,87.33
2015-02-05,87.11,87.36,86.56,87.28,5090800,87.28
2015-02-04,86.11,87.04,86.00,86.65,8932300,86.65
2015-02-03,85.83,86.53,85.66,86.19,8283500,86.19
2015-02-02,84.79,85.87,83.93,85.71,6927200,85.71
2015-01-30,86.78,87.36,84.90,84.98,10280200,84.98
2015-01-29,87.07,87.72,86.27,87.72,6522800,87.72
2015-01-28,88.02,88.23,86.77,86.82,5936800,86.82
2015-01-27,88.28,88.46,87.26,87.53,6020500,87.53
2015-01-26,88.31,89.16,88.12,88.63,4666700,88.63
2015-01-23,88.42,89.26,87.89,88.51,7565800,88.51
2015-01-22,87.23,88.40,86.86,88.30,7123800,88.30
2015-01-21,86.10,86.91,85.71,86.64,8173800,86.64
2015-01-20,86.82,87.70,85.55,86.69,7853100,86.69
2015-01-16,87.20,87.46,86.23,86.77,8408900,86.77
2015-01-15,87.00,87.78,86.70,87.38,9412700,87.38
2015-01-14,87.65,88.52,86.50,86.61,11954300,86.61
2015-01-13,90.80,90.97,88.93,89.31,8215400,89.31
2015-01-12,89.36,90.31,89.22,90.02,7372500,90.02
2015-01-09,90.32,90.39,89.25,89.35,8522500,89.35
2015-01-08,89.21,90.67,89.07,90.47,12713600,90.47
2015-01-07,86.78,88.68,86.67,88.60,8498400,88.60
2015-01-06,85.98,86.75,85.79,86.31,8205100,86.31
2015-01-05,85.72,86.32,85.51,85.65,6979000,85.65
2015-01-02,86.27,86.72,85.55,85.90,4501800,85.90
2014-12-31,87.08,87.44,85.86,85.88,4151400,85.88
2014-12-30,86.52,87.13,86.48,86.79,3265400,86.79
2014-12-29,86.46,87.07,86.40,86.64,3605600,86.64
2014-12-26,86.18,87.14,86.01,86.91,3249300,86.91
2014-12-24,86.97,87.07,86.39,86.43,2491800,86.43
2014-12-23,86.69,87.08,86.36,86.66,5552600,86.66
2014-12-22,85.32,86.40,85.29,86.38,4575800,86.38
2014-12-19,86.26,86.34,85.16,85.16,12068800,85.16
2014-12-18,84.80,85.95,84.28,85.94,8645900,85.94
2014-12-17,83.28,84.26,82.95,84.23,6641000,84.23
2014-12-16,83.62,84.76,82.94,82.96,7437400,82.96
2014-12-15,84.26,84.70,83.05,83.94,6317700,83.94
2014-12-12,83.52,85.00,83.52,83.81,7284100,83.81
2014-12-11,83.20,84.50,83.16,83.83,8032800,83.83
2014-12-10,83.93,84.31,82.90,82.98,6973600,82.98
2014-12-09,83.65,84.21,82.65,83.56,6633600,83.56
2014-12-08,84.15,84.67,83.85,84.23,6266000,84.23
2014-12-05,84.81,84.82,83.51,84.12,6570100,84.12
2014-12-04,84.13,84.82,83.65,84.76,6901400,84.76
2014-12-03,85.95,86.00,84.68,84.94,6374300,84.94
2014-12-02,86.27,86.70,85.93,86.40,6738900,85.92
2014-12-01,86.72,87.07,85.75,86.22,9140900,85.74
