Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,40.00,40.00,39.02,39.41,858200,39.41
2015-02-12,40.40,40.55,40.03,40.19,1191200,40.19
2015-02-11,40.83,41.00,40.30,40.43,754000,40.43
2015-02-10,40.51,41.05,40.46,41.05,1189400,41.05
2015-02-09,41.13,41.38,40.21,40.44,1026500,40.44
2015-02-06,42.92,43.03,40.81,41.12,1362100,41.12
2015-02-05,42.69,43.31,42.47,43.16,919800,43.16
2015-02-04,42.76,43.00,42.45,42.57,1378100,42.57
2015-02-03,42.35,42.85,42.20,42.85,1491100,42.85
2015-02-02,42.67,42.85,42.06,42.53,1437700,42.53
2015-01-30,43.82,43.93,42.59,42.72,1201900,42.72
2015-01-29,43.19,44.03,42.87,43.96,1776000,43.96
2015-01-28,43.45,43.86,43.07,43.19,1041800,43.19
2015-01-27,43.36,43.75,43.28,43.48,1046600,43.48
2015-01-26,43.38,43.52,43.05,43.51,937500,43.51
2015-01-23,43.49,43.66,43.20,43.49,1240600,43.49
2015-01-22,43.68,43.68,43.08,43.54,1874400,43.54
2015-01-21,42.48,43.51,42.22,43.40,1492600,43.40
2015-01-20,42.27,42.70,42.02,42.67,937100,42.67
2015-01-16,41.66,42.23,41.40,42.21,1078500,42.21
2015-01-15,41.74,41.88,41.47,41.78,530200,41.78
2015-01-14,41.03,41.80,40.93,41.77,627500,41.77
2015-01-13,40.92,41.78,40.89,41.29,1223900,41.29
2015-01-12,40.56,41.12,40.33,40.69,1064200,40.69
2015-01-09,41.69,41.74,41.13,41.17,1121500,41.17
2015-01-08,41.47,41.93,41.47,41.77,1190600,41.77
2015-01-07,40.79,41.53,40.51,41.40,771000,41.40
2015-01-06,40.85,41.44,40.67,40.71,901800,40.71
2015-01-05,41.03,41.24,40.69,40.83,870800,40.83
2015-01-02,41.32,41.41,40.62,41.17,1051600,41.17
2014-12-31,42.06,42.16,41.21,41.24,731800,41.24
2014-12-30,42.80,42.80,41.95,41.96,1552200,41.96
2014-12-29,41.88,43.15,41.88,42.93,1293100,42.93
2014-12-26,41.48,42.05,41.39,41.87,537700,41.87
2014-12-24,40.73,41.53,40.73,41.39,341700,41.39
2014-12-23,40.68,40.85,40.49,40.74,839800,40.74
2014-12-22,40.64,40.80,40.34,40.67,542900,40.67
2014-12-19,40.49,40.93,40.35,40.64,1291400,40.64
2014-12-18,40.00,40.55,39.90,40.53,811800,40.53
2014-12-17,39.18,40.00,39.00,39.94,984200,39.94
2014-12-16,39.10,39.54,38.76,39.08,965700,39.08
2014-12-15,39.41,39.46,38.77,39.15,1037200,39.15
2014-12-12,39.39,39.87,39.22,39.29,764900,39.29
2014-12-11,39.43,39.96,39.40,39.67,689300,39.67
2014-12-10,39.75,40.08,39.37,39.40,845400,39.40
2014-12-09,39.15,39.83,39.06,39.79,1056600,39.79
2014-12-08,38.84,39.47,38.84,39.36,788200,39.36
2014-12-05,38.74,38.87,38.52,38.85,1025300,38.85
2014-12-04,39.34,39.50,39.14,39.25,1462500,38.90
2014-12-03,39.37,39.46,39.14,39.39,735300,39.04
2014-12-02,39.11,39.40,38.80,39.26,911800,38.91
2014-12-01,38.90,39.49,38.70,39.05,782100,38.70
2014-11-28,38.85,39.39,38.82,39.09,493100,38.74
2014-11-26,38.59,38.90,38.50,38.65,1067600,38.31
2014-11-25,38.71,38.73,38.12,38.51,992800,38.17
2014-11-24,39.15,39.15,38.67,38.74,1356700,38.39
2014-11-21,39.33,39.41,38.81,39.14,1016800,38.79
2014-11-20,39.29,39.36,39.00,39.10,999200,38.75
2014-11-19,39.23,39.40,38.97,39.31,1521300,38.96
2014-11-18,39.06,39.49,38.83,39.43,1823700,39.08
2014-11-17,38.42,39.04,38.31,38.99,1372000,38.64
2014-11-14,38.56,38.69,38.23,38.39,1361300,38.05
2014-11-13,38.97,39.19,38.65,38.72,1041200,38.37
