Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,48.26,48.50,46.97,47.83,1741000,47.83
2015-02-12,48.69,48.88,47.67,48.38,1387100,48.38
2015-02-11,45.08,47.95,45.08,47.88,1825900,47.88
2015-02-10,45.00,45.23,44.74,44.99,819500,44.99
2015-02-09,44.71,45.13,44.60,44.82,815600,44.82
2015-02-06,45.11,45.19,44.82,44.89,564600,44.89
2015-02-05,44.95,45.21,44.78,44.99,609800,44.99
2015-02-04,44.53,45.05,44.26,44.88,905600,44.88
2015-02-03,44.09,44.66,43.65,44.59,598300,44.59
2015-02-02,43.48,43.96,43.19,43.96,586500,43.96
2015-01-30,43.39,43.61,43.15,43.30,693600,43.30
2015-01-29,42.84,43.76,42.81,43.69,1393000,43.69
2015-01-28,43.39,43.39,42.82,42.84,661900,42.84
2015-01-27,43.18,43.43,43.03,43.12,593400,43.12
2015-01-26,43.13,43.62,42.90,43.58,567100,43.58
2015-01-23,43.47,43.62,43.18,43.23,498000,43.23
2015-01-22,43.38,43.51,42.90,43.47,1358600,43.47
2015-01-21,43.17,43.58,43.00,43.12,693500,43.12
2015-01-20,43.96,44.13,43.13,43.22,970600,43.22
2015-01-16,43.92,44.08,43.66,43.92,704900,43.92
2015-01-15,44.05,44.34,43.59,43.90,634700,43.90
2015-01-14,43.92,44.12,43.65,44.01,630300,44.01
2015-01-13,44.53,45.20,44.05,44.40,1109200,44.40
2015-01-12,44.76,44.90,44.35,44.35,716300,44.35
2015-01-09,45.24,45.24,44.68,44.75,814900,44.75
2015-01-08,45.00,45.37,44.82,45.15,909000,45.15
2015-01-07,44.81,44.91,44.09,44.64,922800,44.64
2015-01-06,44.12,44.46,43.58,44.01,920100,44.01
2015-01-05,44.30,44.39,44.00,44.23,910700,44.23
2015-01-02,45.00,45.22,44.00,44.55,553700,44.55
2014-12-31,45.30,45.44,44.80,44.81,407700,44.81
2014-12-30,45.17,45.41,44.85,45.30,429500,45.30
2014-12-29,44.91,45.32,43.76,45.11,473500,45.11
2014-12-26,45.28,45.37,44.96,45.26,597200,44.96
2014-12-24,45.51,45.66,45.28,45.28,196100,44.98
2014-12-23,45.22,45.57,44.81,45.32,571700,45.02
2014-12-22,44.94,45.05,44.90,45.03,593900,44.73
2014-12-19,44.92,45.00,44.68,45.00,1214200,44.70
2014-12-18,44.97,45.26,44.46,44.69,1155600,44.39
2014-12-17,43.55,44.67,42.77,44.63,1648900,44.33
2014-12-16,43.33,43.95,43.14,43.41,1249800,43.12
2014-12-15,43.85,43.95,43.03,43.50,1092000,43.21
2014-12-12,43.17,43.46,42.89,42.91,637100,42.63
2014-12-11,43.57,43.89,43.36,43.50,616800,43.21
2014-12-10,43.87,43.92,43.14,43.44,707100,43.15
2014-12-09,43.53,44.05,43.21,44.00,548700,43.71
2014-12-08,43.92,44.37,43.68,44.26,400600,43.97
2014-12-05,43.82,44.02,43.56,43.94,421800,43.65
2014-12-04,43.47,43.74,43.33,43.73,383600,43.44
2014-12-03,42.82,43.47,42.50,43.47,514700,43.18
2014-12-02,42.46,42.84,42.46,42.83,523800,42.55
2014-12-01,42.51,42.84,42.38,42.42,526600,42.14
2014-11-28,42.89,43.17,42.42,42.71,294000,42.43
2014-11-26,42.92,42.94,42.53,42.90,178800,42.62
2014-11-25,43.21,43.46,42.82,42.83,408500,42.55
2014-11-24,42.89,43.32,42.79,43.21,533800,42.92
2014-11-21,42.95,42.95,42.54,42.77,573200,42.49
2014-11-20,42.35,42.79,42.22,42.65,475500,42.37
2014-11-19,42.16,42.53,42.04,42.46,608800,42.18
2014-11-18,41.73,42.48,41.58,42.23,1266600,41.95
2014-11-17,41.47,41.74,41.28,41.74,490600,41.46
2014-11-14,41.66,41.80,41.39,41.59,481900,41.31
2014-11-13,41.24,41.81,41.15,41.51,637800,41.23
2014-11-12,41.73,41.87,41.27,41.27,859700,41.00
2014-11-11,42.31,42.44,41.70,41.86,772200,41.58
2014-11-10,41.93,42.41,41.78,42.26,820700,41.98
2014-11-07,41.61,42.03,41.54,41.98,979700,41.70
2014-11-06,41.34,41.69,41.15,41.66,1055800,41.38
2014-11-05,40.51,40.93,40.08,40.80,821100,40.53
2014-11-04,40.21,40.33,40.04,40.23,1166800,39.96
2014-11-03,40.41,40.56,40.08,40.26,1336600,39.99
2014-10-31,40.38,40.61,40.18,40.53,1271300,40.26
2014-10-30,39.96,40.27,39.82,40.06,816200,39.79
2014-10-29,41.07,41.48,39.97,40.16,1809700,39.89
2014-10-28,41.18,41.59,41.05,41.59,692100,41.31
2014-10-27,40.54,41.14,40.46,41.09,473600,40.82
2014-10-24,40.46,40.86,40.44,40.58,1033200,40.31
2014-10-23,41.15,41.17,40.47,40.50,547800,40.23
2014-10-22,41.08,41.32,40.78,40.79,472100,40.52
2014-10-21,41.07,41.26,40.88,41.08,719300,40.81
2014-10-20,40.31,40.58,40.01,40.51,739500,40.24
2014-10-17,39.63,40.33,39.56,40.29,639900,40.02
2014-10-16,39.21,39.80,39.11,39.51,771500,39.25
2014-10-15,39.75,39.96,39.41,39.71,1075300,39.45
2014-10-14,40.06,40.30,39.92,40.01,791800,39.74
2014-10-13,40.19,40.37,39.79,39.91,976800,39.65
2014-10-10,40.36,40.62,40.16,40.16,770600,39.89
2014-10-09,40.95,41.05,40.31,40.40,833600,40.13
2014-10-08,40.76,41.07,40.44,41.01,473400,40.74
2014-10-07,41.08,41.08,40.62,40.65,360900,40.38
2014-10-06,41.34,41.56,41.13,41.27,439900,41.00
2014-10-03,40.83,41.37,40.73,41.30,474800,41.03
2014-10-02,40.65,40.97,40.49,40.64,914500,40.37
2014-10-01,41.25,41.48,40.56,40.65,1058600,40.38
2014-09-30,41.36,41.50,41.09,41.40,776100,41.13
2014-09-29,41.03,41.47,40.80,41.40,620500,41.13
2014-09-26,41.13,41.51,40.89,41.28,444900,41.01
2014-09-25,41.63,41.77,41.12,41.30,573800,40.73
2014-09-24,41.48,42.03,41.25,41.89,491500,41.31
2014-09-23,41.80,41.98,41.38,41.46,760000,40.89
2014-09-22,42.56,42.57,41.90,41.94,798500,41.36
2014-09-19,42.96,43.05,42.44,42.60,1152500,42.01
2014-09-18,42.67,42.92,42.66,42.85,541300,42.26
2014-09-17,42.37,42.70,42.35,42.61,606800,42.02
2014-09-16,42.47,42.58,42.28,42.35,418900,41.76
2014-09-15,42.57,42.67,42.48,42.55,521900,41.96
2014-09-12,42.65,42.70,42.30,42.60,1099600,42.01
2014-09-11,42.18,42.72,42.06,42.65,686800,42.06
2014-09-10,42.23,42.43,42.16,42.35,392700,41.76
2014-09-09,42.25,42.44,42.05,42.26,384000,41.67
2014-09-08,42.37,42.58,42.18,42.33,435700,41.74
2014-09-05,42.44,42.44,42.13,42.27,369400,41.68
2014-09-04,42.44,42.79,42.32,42.43,358300,41.84
2014-09-03,42.41,42.58,42.30,42.39,355500,41.80
2014-09-02,42.41,42.82,42.06,42.36,641100,41.77
2014-08-29,41.84,42.09,41.70,41.97,302400,41.39
2014-08-28,41.85,42.05,41.70,41.84,258600,41.26
2014-08-27,41.58,41.92,41.51,41.87,514200,41.29
2014-08-26,41.86,42.07,41.60,41.60,452500,41.02
2014-08-25,41.85,42.18,41.64,41.81,514400,41.23
2014-08-22,41.82,41.86,41.62,41.65,185400,41.07
2014-08-21,41.65,41.92,41.49,41.86,196500,41.28
2014-08-20,41.30,41.59,41.18,41.56,316200,40.98
2014-08-19,41.42,41.42,41.25,41.31,433700,40.74
2014-08-18,41.33,41.40,41.25,41.32,558800,40.75
2014-08-15,41.51,41.69,40.96,41.26,295300,40.69
2014-08-14,41.27,41.50,41.23,41.36,253200,40.79
2014-08-13,41.03,41.29,40.78,41.25,418600,40.68
2014-08-12,40.88,41.05,40.76,40.88,291300,40.31
2014-08-11,40.86,41.20,40.86,40.97,457700,40.40
2014-08-08,40.30,40.96,40.15,40.83,959400,40.26
2014-08-07,40.08,40.35,39.81,40.31,1795400,39.75
2014-08-06,40.06,40.29,40.01,40.07,635200,39.52
2014-08-05,40.07,40.48,40.07,40.26,1064700,39.70
2014-08-04,40.55,40.68,40.06,40.18,837500,39.62
2014-08-01,40.73,40.82,40.23,40.56,1205500,40.00
2014-07-31,40.77,40.86,40.28,40.75,1586400,40.19
2014-07-30,41.49,41.49,40.22,40.59,1994500,40.03
2014-07-29,41.91,42.10,41.47,41.54,733300,40.96
2014-07-28,41.20,41.84,41.15,41.76,626800,41.18
2014-07-25,42.58,42.88,41.49,41.54,717700,40.96
2014-07-24,42.84,43.02,42.78,42.78,252500,42.19
2014-07-23,42.81,43.07,42.70,42.83,433400,42.24
2014-07-22,42.57,42.77,42.39,42.72,334400,42.13
2014-07-21,42.31,42.61,42.08,42.54,704800,41.95
2014-07-18,42.61,42.77,42.27,42.48,444400,41.89
2014-07-17,42.41,42.77,42.26,42.45,1031100,41.86
2014-07-16,42.53,42.70,42.29,42.49,438200,41.90
2014-07-15,42.61,42.90,42.38,42.40,647400,41.81
2014-07-14,43.00,43.23,42.74,42.75,1167800,42.16
2014-07-11,42.71,42.96,42.53,42.92,585000,42.33
2014-07-10,42.42,43.02,42.19,42.82,554200,42.23
2014-07-09,43.00,43.10,42.89,43.00,480000,42.40
2014-07-08,43.12,43.24,42.88,43.00,304000,42.40
2014-07-07,43.38,43.45,43.16,43.26,905600,42.66
2014-07-03,43.62,43.62,43.34,43.44,550600,42.84
2014-07-02,43.85,44.11,43.32,43.44,607800,42.84
2014-07-01,44.33,44.59,42.76,43.97,651800,43.36
2014-06-30,43.13,43.31,43.08,43.30,549400,42.70
2014-06-27,43.02,43.20,43.02,43.13,452000,42.53
2014-06-26,43.22,43.22,42.99,43.10,622900,42.50
2014-06-25,43.39,43.51,43.26,43.46,455400,42.56
2014-06-24,43.63,43.84,43.49,43.56,381700,42.66
2014-06-23,43.96,44.02,43.61,43.71,470000,42.81
2014-06-20,43.80,43.97,43.57,43.73,804700,42.83
2014-06-19,43.62,43.85,43.44,43.59,369600,42.69
2014-06-18,43.07,43.72,42.95,43.67,696900,42.77
2014-06-17,42.81,43.22,42.80,43.14,771100,42.25
2014-06-16,42.98,43.13,42.84,42.97,669200,42.08
2014-06-13,42.99,43.18,42.90,43.11,725200,42.22
2014-06-12,42.84,42.99,42.56,42.95,431600,42.06
2014-06-11,42.78,43.01,42.67,42.85,528400,41.97
2014-06-10,42.78,43.05,42.77,43.02,499200,42.13
2014-06-09,42.89,43.06,42.74,42.93,774400,42.04
2014-06-06,42.42,42.94,42.29,42.86,508500,41.97
2014-06-05,42.81,42.88,42.34,42.34,878500,41.47
2014-06-04,42.26,42.90,42.26,42.74,981700,41.86
2014-06-03,41.99,42.35,41.90,42.24,735300,41.37
2014-06-02,42.07,42.19,41.92,41.99,517100,41.12
2014-05-30,41.68,42.05,41.41,41.94,1827400,41.07
2014-05-29,41.56,41.77,41.44,41.67,955100,40.81
2014-05-28,41.97,41.99,41.40,41.41,722900,40.55
2014-05-27,41.73,42.00,41.73,41.84,888700,40.98
2014-05-23,41.49,41.58,41.34,41.51,622700,40.65
2014-05-22,41.13,41.53,41.00,41.47,593300,40.61
2014-05-21,41.60,41.83,41.19,41.20,1016600,40.35
2014-05-20,41.82,42.00,41.45,41.60,1014500,40.74
2014-05-19,41.89,41.99,41.60,41.93,665500,41.06
2014-05-16,41.55,41.98,41.31,41.89,785700,41.02
2014-05-15,41.33,41.60,41.25,41.44,1314700,40.58
2014-05-14,41.76,41.79,41.40,41.64,535100,40.78
2014-05-13,41.88,41.95,41.70,41.78,465900,40.92
2014-05-12,41.54,42.06,41.54,41.73,680000,40.87
2014-05-09,41.43,41.67,41.26,41.59,685800,40.73
2014-05-08,41.53,41.82,41.23,41.37,903100,40.52
2014-05-07,41.08,41.72,41.04,41.52,1614900,40.66
2014-05-06,41.11,41.32,40.92,41.00,661400,40.15
2014-05-05,41.09,41.28,41.01,41.20,575800,40.35
2014-05-02,41.33,41.71,40.96,41.22,1433200,40.37
2014-05-01,40.51,42.15,40.51,41.68,1665100,40.82
2014-04-30,42.41,42.49,40.47,40.99,6993100,40.14
2014-04-29,43.13,43.44,43.10,43.20,1043200,42.31
2014-04-28,43.26,43.35,42.47,42.98,958500,42.09
2014-04-25,42.71,43.19,42.36,43.11,864200,42.22
2014-04-24,43.00,43.14,42.65,42.73,367900,41.85
2014-04-23,42.80,43.06,42.70,42.89,327000,42.00
2014-04-22,42.23,43.00,42.12,42.83,606500,41.95
2014-04-21,42.23,42.39,42.16,42.35,392400,41.48
2014-04-17,42.23,42.43,42.14,42.25,653300,41.38
2014-04-16,42.22,42.45,42.13,42.28,781600,41.41
2014-04-15,42.01,42.24,41.44,41.91,594800,41.04
2014-04-14,42.03,42.06,41.70,41.94,696300,41.07
2014-04-11,42.42,42.42,41.75,41.77,682100,40.91
2014-04-10,43.04,43.04,42.45,42.57,740800,41.69
2014-04-09,42.84,43.06,42.40,43.01,713200,42.12
2014-04-08,43.00,43.03,42.51,42.78,509100,41.90
2014-04-07,43.95,43.99,42.62,42.99,810800,42.10
2014-04-04,44.40,44.49,43.54,43.62,529200,42.72
2014-04-03,44.49,44.49,43.89,44.15,639900,43.24
2014-04-02,44.17,44.35,44.02,44.03,516300,43.12
2014-04-01,43.85,44.22,43.78,44.20,867700,43.29
2014-03-31,42.88,44.25,42.79,44.13,1441600,43.22
2014-03-28,42.71,43.13,42.25,42.73,619100,41.85
2014-03-27,42.53,42.66,42.23,42.60,720800,41.72
2014-03-26,43.10,43.24,42.49,42.50,437300,41.33
2014-03-25,42.61,43.12,42.44,43.04,491100,41.85
2014-03-24,43.36,43.63,42.38,42.43,1198000,41.26
2014-03-21,43.24,43.62,43.20,43.27,780000,42.08
2014-03-20,42.93,43.24,42.57,43.24,488200,42.05
2014-03-19,43.32,43.41,42.92,42.95,447400,41.77
2014-03-18,42.70,43.64,42.70,43.27,811300,42.08
2014-03-17,42.57,42.79,42.30,42.74,701900,41.56
2014-03-14,42.70,42.80,42.33,42.39,574100,41.22
2014-03-13,42.85,43.20,42.70,42.72,825000,41.54
2014-03-12,42.67,42.96,42.63,42.79,667100,41.61
2014-03-11,43.05,43.05,42.70,42.98,776800,41.80
2014-03-10,42.91,43.01,42.73,42.78,776000,41.60
2014-03-07,43.48,43.48,43.00,43.06,555600,41.87
