Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,116.90,118.49,115.53,116.96,361400,116.96
2015-02-12,110.93,116.97,110.04,115.66,450700,115.66
2015-02-11,110.93,111.30,109.48,109.84,233700,109.84
2015-02-10,111.00,111.04,109.52,110.78,183200,110.78
2015-02-09,110.99,111.30,109.86,110.36,167700,110.36
2015-02-06,111.72,111.98,110.47,111.00,288300,111.00
2015-02-05,111.00,111.67,110.65,111.47,183300,111.47
2015-02-04,111.59,112.03,110.38,110.68,154800,110.68
2015-02-03,109.73,112.47,109.73,111.95,328600,111.95
2015-02-02,108.94,110.00,107.76,109.73,283800,109.73
2015-01-30,110.87,111.39,108.70,108.86,174500,108.86
2015-01-29,110.96,112.49,110.47,111.57,240400,111.57
2015-01-28,111.78,112.20,110.59,110.99,251900,110.99
2015-01-27,109.99,111.86,109.39,111.04,190500,111.04
2015-01-26,110.34,111.46,110.04,111.13,205100,111.13
2015-01-23,110.82,111.83,108.94,110.74,267600,110.74
2015-01-22,109.01,111.17,108.14,110.78,259400,110.78
2015-01-21,107.48,108.61,107.48,108.27,112100,108.27
2015-01-20,106.81,108.81,105.74,107.69,224700,107.69
2015-01-16,104.53,105.75,103.52,105.61,354200,105.61
2015-01-15,107.89,107.98,105.11,105.61,267900,104.91
2015-01-14,110.03,111.19,107.32,108.01,403800,107.29
2015-01-13,109.44,111.11,108.69,111.07,330100,110.33
2015-01-12,108.30,109.19,107.50,108.52,194200,107.80
2015-01-09,107.71,108.29,106.95,107.87,169000,107.16
2015-01-08,106.44,108.01,106.22,107.74,178400,107.03
2015-01-07,105.33,106.22,104.94,105.61,202900,104.91
2015-01-06,105.37,105.40,102.99,104.92,190200,104.22
2015-01-05,105.44,106.03,104.69,105.05,176200,104.35
2015-01-02,107.75,108.24,105.72,106.19,143900,105.49
2014-12-31,107.60,108.85,106.94,107.00,273700,106.29
2014-12-30,107.08,108.37,106.50,107.51,82200,106.80
2014-12-29,107.06,108.40,106.33,108.20,99400,107.48
2014-12-26,107.37,107.65,106.80,106.98,94700,106.27
2014-12-24,106.82,107.32,106.17,106.86,75800,106.15
2014-12-23,106.17,107.69,106.17,106.65,120800,105.94
2014-12-22,106.34,106.87,105.65,105.85,158400,105.15
2014-12-19,106.52,107.08,105.99,106.27,367700,105.57
2014-12-18,106.40,107.43,105.54,106.96,261100,106.25
2014-12-17,103.90,106.14,103.50,105.92,185300,105.22
2014-12-16,102.97,105.22,102.75,103.65,185200,102.96
2014-12-15,103.36,104.43,102.72,103.14,142700,102.46
2014-12-12,103.58,104.59,103.05,103.09,192300,102.41
2014-12-11,104.29,105.92,103.93,104.84,173000,104.15
2014-12-10,105.10,105.57,103.80,103.82,153600,103.13
2014-12-09,103.63,105.63,103.62,105.58,155000,104.88
2014-12-08,105.30,106.72,104.59,104.88,163900,104.18
2014-12-05,104.24,105.95,104.12,105.84,182600,105.14
2014-12-04,104.30,104.85,103.51,104.35,140900,103.66
2014-12-03,103.07,105.00,102.50,104.17,175500,103.48
2014-12-02,101.16,103.04,101.16,102.89,161500,102.21
2014-12-01,101.02,101.67,100.15,101.16,147400,100.49
2014-11-28,102.32,102.45,101.13,101.50,69800,100.83
2014-11-26,102.61,102.95,101.84,102.18,74000,101.50
2014-11-25,102.66,103.23,101.51,102.46,93000,101.78
2014-11-24,101.84,102.63,101.39,102.58,126500,101.90
2014-11-21,102.00,102.21,101.09,101.35,108800,100.68
2014-11-20,99.51,101.38,99.15,100.82,110500,100.15
2014-11-19,100.81,101.12,99.15,100.20,139400,99.54
2014-11-18,100.88,102.02,100.40,101.06,182400,100.39
2014-11-17,101.73,101.94,100.36,100.78,190600,100.11
2014-11-14,102.34,103.42,101.03,101.50,223600,100.83
2014-11-13,103.22,103.51,101.67,102.26,202200,101.58
2014-11-12,101.49,103.42,101.49,102.96,251900,102.28
2014-11-11,103.07,103.50,101.94,102.46,281300,101.78
2014-11-10,103.04,104.23,103.04,103.28,257900,102.60
2014-11-07,103.18,103.51,102.50,103.15,158100,102.47
2014-11-06,101.58,103.19,101.57,103.10,158800,102.42
2014-11-05,101.73,101.98,101.01,101.61,136900,100.94
2014-11-04,101.00,101.78,100.74,100.89,168900,100.22
2014-11-03,101.73,102.39,100.90,101.49,209800,100.82
2014-10-31,102.38,102.48,100.69,101.62,372700,100.95
2014-10-30,99.30,100.87,98.64,100.73,165800,100.06
