Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,28.40,28.98,28.40,28.90,1145100,28.90
2015-02-12,28.25,28.60,28.02,28.42,535700,28.42
2015-02-11,27.90,28.10,27.67,28.00,448400,28.00
2015-02-10,27.94,28.06,27.69,27.93,469100,27.93
2015-02-09,28.25,28.39,27.48,27.70,911500,27.70
2015-02-06,29.10,29.11,28.42,28.49,673500,28.49
2015-02-05,29.05,29.62,28.95,29.05,632000,29.05
2015-02-04,28.64,29.01,28.42,28.98,604700,28.98
2015-02-03,28.48,29.22,28.25,28.89,628500,28.89
2015-02-02,28.17,28.44,27.84,28.36,474100,28.36
2015-01-30,28.84,29.06,28.02,28.15,939100,28.15
2015-01-29,28.83,29.25,28.75,29.15,573300,29.15
2015-01-28,28.75,28.98,28.58,28.64,655500,28.64
2015-01-27,28.27,28.71,28.23,28.67,447600,28.67
2015-01-26,28.09,28.64,28.05,28.57,580800,28.57
2015-01-23,28.46,28.58,28.14,28.17,547500,28.17
2015-01-22,27.26,28.47,27.20,28.40,713300,28.40
2015-01-21,27.07,27.26,26.86,27.19,503900,27.19
2015-01-20,27.56,27.69,26.97,27.21,857200,27.21
2015-01-16,27.26,27.62,26.91,27.54,883700,27.54
2015-01-15,28.07,28.10,27.19,27.31,1222700,27.31
2015-01-14,28.10,28.34,27.72,27.94,1172700,27.94
2015-01-13,28.48,29.65,28.48,28.73,2372500,28.73
2015-01-12,29.50,29.70,29.32,29.63,517100,29.63
2015-01-09,29.04,29.68,28.89,29.52,952100,29.52
2015-01-08,28.81,29.13,28.60,29.08,1065900,29.08
2015-01-07,28.25,28.65,28.12,28.35,1011600,28.35
2015-01-06,28.68,28.82,27.89,28.06,919600,28.06
2015-01-05,28.87,28.99,28.48,28.75,847400,28.75
2015-01-02,29.54,29.65,28.44,29.03,754700,29.03
2014-12-31,29.85,30.04,29.43,29.47,863000,29.47
2014-12-30,30.14,30.23,29.74,29.86,366500,29.86
2014-12-29,29.83,30.45,29.83,30.32,359300,30.26
2014-12-26,29.74,30.01,29.61,29.90,209100,29.84
2014-12-24,29.95,29.97,29.60,29.65,245300,29.59
2014-12-23,29.79,30.31,29.76,29.95,281700,29.89
2014-12-22,29.66,29.95,29.49,29.72,466500,29.66
2014-12-19,29.78,29.81,28.96,29.72,1179800,29.66
2014-12-18,30.09,30.16,29.61,29.87,458200,29.81
2014-12-17,29.66,29.81,29.07,29.71,861200,29.65
2014-12-16,29.10,29.83,28.90,29.52,1019800,29.46
2014-12-15,29.50,29.67,28.91,29.18,677100,29.12
2014-12-12,28.60,29.62,28.57,29.38,868400,29.32
2014-12-11,28.96,29.59,28.54,29.00,594900,28.94
2014-12-10,29.27,29.52,28.73,28.77,507600,28.71
2014-12-09,29.00,29.44,28.80,29.30,845800,29.24
2014-12-08,29.58,29.66,29.05,29.29,596700,29.23
