Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,29.18,29.56,28.63,29.40,19313200,29.40
2015-02-12,28.03,29.18,27.89,29.05,17590100,29.05
2015-02-11,27.24,27.45,26.86,27.37,15298200,27.37
2015-02-10,27.16,27.68,26.64,27.52,18576300,27.52
2015-02-09,26.15,26.66,25.94,26.53,16368300,26.53
2015-02-06,28.15,28.36,26.06,26.65,30024400,26.65
2015-02-05,27.15,28.00,27.14,27.83,14339400,27.83
2015-02-04,27.31,28.12,26.73,26.91,21770700,26.91
2015-02-03,26.85,27.75,26.61,27.68,21923000,27.68
2015-02-02,25.91,26.45,24.75,26.45,27742800,26.45
2015-01-30,26.90,27.47,24.80,24.97,39867700,24.97
2015-01-29,26.97,27.99,26.06,27.82,36121100,27.82
2015-01-28,30.55,30.58,26.81,27.13,39415100,27.13
2015-01-27,29.49,30.69,29.19,29.71,27934500,29.71
2015-01-26,30.11,31.21,29.51,31.20,17467000,31.20
2015-01-23,30.20,31.09,29.69,29.82,22830800,29.82
2015-01-22,29.58,30.70,28.47,30.66,27546400,30.66
2015-01-21,27.15,28.81,26.82,28.76,26906100,28.76
2015-01-20,28.06,28.12,26.58,27.49,25677100,27.49
2015-01-16,26.70,27.55,26.17,27.25,28258800,27.25
2015-01-15,27.92,28.30,26.65,26.74,26868100,26.74
2015-01-14,26.77,27.70,26.52,27.57,33054800,27.57
2015-01-13,29.59,29.96,27.35,28.11,33567700,28.11
2015-01-12,30.12,30.23,28.18,28.92,23929600,28.92
2015-01-09,31.95,32.00,30.12,30.41,23282800,30.41
2015-01-08,30.83,31.77,30.71,31.61,19603300,31.61
2015-01-07,29.63,30.09,29.00,29.74,20024400,29.74
2015-01-06,29.64,30.05,27.75,28.77,38855300,28.77
2015-01-05,30.90,31.03,29.01,29.49,28450200,29.49
2015-01-02,32.25,32.62,29.93,31.69,19890700,31.69
2014-12-31,34.08,34.25,30.55,31.14,22653800,31.14
2014-12-30,32.75,32.75,32.75,32.75,000,32.75
2014-12-29,34.51,35.08,34.32,34.80,8921200,34.80
2014-12-26,35.11,35.36,34.59,34.74,8078400,34.74
2014-12-24,35.24,35.30,34.81,35.11,4785500,35.11
2014-12-23,35.13,35.15,34.15,34.88,11087900,34.88
2014-12-22,34.15,34.94,33.87,34.91,13856300,34.91
2014-12-19,33.19,33.75,32.69,33.22,22898400,33.22
2014-12-18,33.60,33.71,32.12,33.05,26573700,33.05
2014-12-17,28.85,32.13,28.83,31.99,37580800,31.99
2014-12-16,30.08,32.61,29.30,29.32,35615400,29.32
2014-12-15,31.57,32.32,29.64,30.87,34871100,30.87
2014-12-12,30.43,31.92,29.91,30.11,34737400,30.11
2014-12-11,34.26,35.65,31.81,31.84,25578700,31.84
2014-12-10,37.21,37.36,33.96,34.03,27070200,34.03
2014-12-09,36.55,38.24,35.79,37.88,18883500,37.88
2014-12-08,39.80,40.44,38.00,38.48,11820600,38.48
2014-12-05,40.00,40.74,39.70,40.07,9786700,40.07
2014-12-04,38.96,39.78,38.24,39.38,10083400,39.38
2014-12-03,39.24,39.60,38.98,39.43,7225800,39.43
2014-12-02,36.90,38.89,36.90,38.82,8643500,38.82
2014-12-01,37.72,37.85,36.51,36.90,12830300,36.90
2014-11-28,39.40,39.72,38.41,38.51,5235300,38.51
2014-11-26,38.97,39.70,38.86,39.58,7385500,39.58
2014-11-25,38.89,39.07,38.40,38.94,7662400,38.94
2014-11-24,38.24,38.73,38.06,38.70,7335600,38.70
2014-11-21,38.26,38.29,37.57,37.90,9589100,37.90
2014-11-20,36.06,37.30,36.00,37.11,6663900,37.11
2014-11-19,37.20,37.35,36.41,36.74,11541600,36.74
2014-11-18,37.25,38.12,37.22,37.66,8789100,37.66
2014-11-17,36.59,37.40,36.32,37.04,9376600,37.04
2014-11-14,36.86,37.06,36.18,36.95,10840300,36.95
2014-11-13,37.36,37.85,35.98,37.04,14585500,37.04
2014-11-12,37.07,37.91,37.01,37.52,9704900,37.52
2014-11-11,38.19,38.36,37.21,38.01,11505900,38.01
2014-11-10,36.80,38.27,36.71,37.97,12532200,37.97
2014-11-07,36.13,36.69,35.70,36.61,13911600,36.61
2014-11-06,35.40,36.23,34.73,36.07,12685900,36.07
2014-11-05,35.39,35.44,34.56,35.20,11753200,35.20
2014-11-04,34.22,34.87,33.29,34.77,19529000,34.77
2014-11-03,35.10,35.30,34.14,34.50,12256300,34.50
2014-10-31,35.28,35.35,34.51,35.06,16796600,35.06
2014-10-30,33.60,34.90,33.09,34.21,22199800,34.21
2014-10-29,34.87,35.05,33.27,34.33,33231600,34.33
2014-10-28,33.27,35.01,33.23,34.95,21806600,34.95
2014-10-27,31.76,32.95,31.15,32.79,22310400,32.79
2014-10-24,31.97,32.56,30.21,32.37,22276500,32.37
2014-10-23,32.12,32.86,31.51,32.05,28412700,32.05
2014-10-22,32.98,33.39,29.91,30.10,33668700,30.10
2014-10-21,31.64,32.94,31.37,32.74,23262400,32.74
2014-10-20,28.16,30.56,28.01,30.48,24882700,30.48
2014-10-17,29.05,29.48,27.77,28.33,32420400,28.33
2014-10-16,24.85,27.74,24.71,27.19,53839600,27.19
2014-10-15,26.64,28.53,24.67,28.30,66713600,28.30
2014-10-14,29.11,30.42,27.75,28.75,37348200,28.75
2014-10-13,32.39,32.89,28.27,28.51,31888400,28.51
2014-10-10,35.68,36.40,31.80,31.86,37130000,31.86
2014-10-09,38.93,39.23,35.74,35.90,38317200,35.90
2014-10-08,36.34,39.65,36.01,39.48,26587600,39.48
2014-10-07,38.33,38.46,36.52,36.58,19890700,36.58
2014-10-06,40.88,41.29,39.09,39.27,14948500,39.27
2014-10-03,39.02,40.41,38.78,39.98,17130500,39.98
2014-10-02,37.17,38.39,36.15,37.72,26185700,37.72
2014-10-01,38.27,38.34,36.45,37.50,26014100,37.50
2014-09-30,38.54,39.33,37.96,38.25,15556800,38.25
2014-09-29,38.57,39.82,38.10,38.79,18155000,38.79
2014-09-26,39.78,41.18,39.53,40.73,11957900,40.73
2014-09-25,42.11,42.17,38.78,39.36,24540300,39.36
2014-09-24,41.46,42.64,41.11,42.55,8404600,42.55
2014-09-23,41.76,42.56,41.28,41.28,12271800,41.28
2014-09-22,43.96,44.03,42.57,42.88,10242100,42.88
2014-09-19,44.94,45.17,43.85,44.47,8879500,44.47
2014-09-18,44.15,44.54,43.97,44.49,6162800,44.49
2014-09-17,43.67,44.78,43.28,43.84,14109500,43.84
