Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,28.22,29.29,27.97,29.23,379200,29.23
2015-02-12,27.69,28.35,27.35,28.25,370500,28.25
2015-02-11,28.89,28.96,27.03,27.47,370400,27.47
2015-02-10,29.29,29.36,28.86,29.00,215900,29.00
2015-02-09,29.35,29.58,28.84,29.03,92800,29.03
2015-02-06,29.35,29.75,29.06,29.38,135800,29.38
2015-02-05,29.53,29.88,29.21,29.46,242100,29.46
2015-02-04,28.97,29.57,28.72,29.37,349800,29.37
2015-02-03,27.74,28.97,27.68,28.95,299400,28.95
2015-02-02,27.85,28.05,27.38,27.78,289000,27.78
2015-01-30,27.81,27.98,27.49,27.75,949200,27.75
2015-01-29,27.51,28.08,27.43,28.01,181900,28.01
2015-01-28,28.00,28.12,27.42,27.56,122800,27.56
2015-01-27,27.60,28.09,27.27,28.03,242700,28.03
2015-01-26,27.42,27.89,27.29,27.80,279700,27.80
2015-01-23,26.84,27.75,26.83,27.39,195200,27.39
2015-01-22,27.48,28.08,26.56,26.95,518900,26.95
2015-01-21,28.61,28.61,27.32,27.43,299500,27.43
2015-01-20,29.50,29.50,28.37,28.67,251900,28.67
2015-01-16,30.06,30.30,29.79,29.89,373100,29.89
2015-01-15,30.66,30.66,29.83,30.16,320400,30.16
2015-01-14,29.63,30.67,29.16,30.22,241700,30.22
2015-01-13,29.81,30.11,29.58,29.86,262600,29.86
2015-01-12,29.75,29.83,29.33,29.62,160300,29.62
2015-01-09,29.62,29.80,29.40,29.66,309600,29.66
2015-01-08,29.34,30.26,29.21,29.60,329200,29.60
2015-01-07,29.41,29.60,28.86,29.15,467900,29.15
2015-01-06,29.41,29.66,28.75,29.13,366400,29.13
2015-01-05,30.63,30.63,29.03,29.37,350000,29.37
2015-01-02,30.83,31.20,30.42,30.67,304800,30.67
2014-12-31,31.06,31.22,30.41,30.57,236700,30.57
2014-12-30,32.03,32.11,30.61,30.95,195200,30.95
2014-12-29,31.23,32.18,30.39,32.03,271300,32.03
2014-12-26,31.65,32.00,29.50,31.35,431800,31.35
2014-12-24,31.37,32.09,31.15,31.48,165000,31.48
2014-12-23,30.04,31.35,29.55,31.20,308200,31.20
2014-12-22,29.43,29.77,28.56,29.74,194600,29.74
2014-12-19,28.95,29.59,28.63,29.20,1567300,29.20
2014-12-18,29.17,29.60,28.43,28.89,713800,28.89
2014-12-17,28.09,29.00,27.61,28.70,488700,28.70
2014-12-16,28.22,28.66,27.06,28.03,1017000,28.03
2014-12-15,29.30,29.78,27.95,28.15,839500,28.15
2014-12-12,29.98,30.15,28.03,28.97,959900,28.97
2014-12-11,30.20,31.23,29.50,30.57,677300,30.57
2014-12-10,28.47,29.69,28.35,29.20,1202600,29.20
2014-12-09,26.52,28.77,26.52,28.39,783700,28.39
2014-12-08,26.93,27.29,26.50,26.73,892900,26.73
2014-12-05,26.99,27.16,26.50,26.78,418100,26.78
2014-12-04,27.19,27.48,26.40,26.91,590400,26.91
2014-12-03,26.88,27.41,26.50,27.15,702700,27.15
2014-12-02,26.90,26.97,26.00,26.90,560500,26.90
2014-12-01,27.80,27.80,25.82,26.84,588700,26.84
2014-11-28,27.41,27.62,26.63,27.49,335500,27.49
2014-11-26,26.51,27.35,25.48,27.00,2131000,27.00
2014-11-25,25.89,28.11,24.43,25.54,1461500,25.54
2014-11-24,26.37,26.50,25.06,25.54,842200,25.54
2014-11-21,23.83,25.28,23.70,25.04,994200,25.04
2014-11-20,23.51,24.89,23.25,24.04,251400,24.04
2014-11-19,23.73,23.81,23.50,23.78,154300,23.78
2014-11-18,23.69,23.98,23.51,23.83,197900,23.83
2014-11-17,23.71,23.72,23.61,23.70,220400,23.70
2014-11-14,23.65,23.83,23.10,23.82,179600,23.82
2014-11-13,23.19,24.20,23.19,23.73,70300,23.73
2014-11-12,23.03,23.79,23.02,23.26,121100,23.26
2014-11-11,23.23,23.45,22.62,23.19,325200,23.19
2014-11-10,23.73,23.86,23.38,23.52,384100,23.52
2014-11-07,23.81,23.81,23.04,23.59,310800,23.59
2014-11-06,24.01,24.26,23.50,23.58,170000,23.58
2014-11-05,23.88,24.21,23.58,24.04,132600,24.04
2014-11-04,24.31,24.31,23.26,23.73,282400,23.73
2014-11-03,23.44,23.99,23.29,23.87,310400,23.87
2014-10-31,23.67,23.92,23.26,23.41,292000,23.41
2014-10-30,23.40,23.50,23.25,23.36,107600,23.36
2014-10-29,23.19,23.55,22.96,23.40,337400,23.40
2014-10-28,23.30,23.30,22.51,22.75,177900,22.75
2014-10-27,22.75,23.20,22.75,23.02,183500,23.02
2014-10-24,22.77,23.10,22.60,22.87,402200,22.87
2014-10-23,22.75,22.88,22.42,22.75,568700,22.75
2014-10-22,22.00,22.47,21.87,22.34,491200,22.34
2014-10-21,22.20,22.50,22.05,22.10,344600,22.10
2014-10-20,21.94,22.90,21.87,22.20,512000,22.20
2014-10-17,21.51,22.85,21.21,22.00,8178600,22.00
