Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,26.80,26.94,26.80,26.88,5700,26.88
2015-02-12,26.72,26.80,26.72,26.80,4700,26.80
2015-02-11,26.68,26.73,26.68,26.72,4200,26.72
2015-02-10,26.61,26.74,26.53,26.74,3100,26.74
2015-02-09,26.59,26.61,26.52,26.60,8800,26.60
2015-02-06,26.69,26.77,26.63,26.74,7700,26.74
2015-02-05,26.77,26.77,26.70,26.77,5200,26.77
2015-02-04,26.76,26.76,26.71,26.73,5300,26.73
2015-02-03,26.70,26.70,26.70,26.70,200,26.70
2015-02-02,26.74,26.96,26.69,26.70,29800,26.70
2015-01-30,26.77,26.82,26.72,26.72,8500,26.72
2015-01-29,26.77,26.92,26.75,26.92,3500,26.92
2015-01-28,26.80,26.93,26.80,26.80,4000,26.80
2015-01-27,27.14,27.14,26.82,26.85,4200,26.85
2015-01-26,26.98,27.03,26.98,27.03,1400,27.03
2015-01-23,27.00,27.01,26.77,26.99,4400,26.99
2015-01-22,26.83,26.95,26.70,26.95,5700,26.95
2015-01-21,26.85,26.97,26.85,26.97,200,26.97
2015-01-20,26.69,27.19,26.68,26.71,5300,26.71
2015-01-16,27.01,27.16,26.52,26.86,1600,26.86
2015-01-15,26.95,27.12,26.71,26.75,4000,26.75
2015-01-14,27.32,27.32,27.01,27.01,1700,27.01
2015-01-13,27.41,27.41,27.41,27.41,300,27.41
2015-01-12,26.81,26.91,26.77,26.91,2200,26.91
2015-01-09,27.47,27.50,27.12,27.16,1500,27.16
2015-01-08,27.33,27.33,27.33,27.33,500,27.33
2015-01-07,27.05,27.35,26.81,27.35,11000,27.35
2015-01-06,27.47,27.47,27.27,27.35,1200,27.35
2015-01-05,27.51,27.51,27.05,27.24,1400,27.24
2015-01-02,27.39,27.39,27.39,27.39,000,27.39
2014-12-31,27.10,27.60,27.10,27.39,5700,27.39
2014-12-30,27.19,27.45,27.18,27.40,000,27.40
2014-12-29,27.10,27.14,26.98,27.13,000,27.13
2014-12-26,26.89,26.89,26.89,26.89,000,26.89
2014-12-24,26.89,26.89,26.89,26.89,000,26.89
2014-12-23,26.89,27.00,26.89,26.89,000,26.89
2014-12-22,26.88,27.04,26.88,26.90,400,26.90
2014-12-19,26.90,26.90,26.90,26.90,000,26.90
2014-12-18,26.76,26.90,26.76,26.90,2600,26.90
2014-12-17,26.55,26.57,26.55,26.57,1200,26.57
2014-12-16,26.41,26.44,26.41,26.44,1300,26.44
2014-12-15,27.18,27.18,26.51,26.54,19000,26.54
2014-12-12,27.02,27.02,26.95,26.96,2600,26.96
2014-12-11,27.15,27.15,27.15,27.15,200,27.15
2014-12-10,27.07,27.07,27.07,27.07,000,27.07
2014-12-09,27.15,27.20,27.03,27.07,2500,27.07
2014-12-08,27.03,27.15,27.03,27.04,1800,27.04
2014-12-05,27.13,27.14,27.01,27.13,2600,27.13
2014-12-04,27.02,27.02,26.98,26.99,2600,26.99
2014-12-03,27.09,27.16,26.88,27.12,2900,27.12
2014-12-02,26.99,26.99,26.99,26.99,000,26.99
2014-12-01,27.04,27.04,26.89,26.99,4500,26.99
2014-11-28,26.83,26.83,26.83,26.83,400,26.83
2014-11-26,26.73,26.83,26.73,26.83,2200,26.83
2014-11-25,27.30,27.30,27.07,27.15,4000,26.72
2014-11-24,27.36,27.36,27.30,27.30,1100,26.86
2014-11-21,27.38,27.53,27.29,27.34,4100,26.90
2014-11-20,27.30,27.30,27.16,27.22,2100,26.78
2014-11-19,27.32,27.32,27.22,27.22,1400,26.78
2014-11-18,27.30,27.35,27.30,27.35,600,26.91
2014-11-17,27.16,27.30,27.15,27.29,11300,26.85
2014-11-14,27.23,27.23,27.08,27.08,1500,26.65
2014-11-13,27.13,27.15,27.13,27.15,600,26.72
2014-11-12,27.04,27.14,26.96,27.14,2600,26.71
2014-11-11,27.20,27.20,26.94,27.01,3700,26.58
2014-11-10,27.10,27.23,27.10,27.19,1000,26.76
2014-11-07,27.17,27.17,27.17,27.17,000,26.74
2014-11-06,27.00,27.18,26.99,27.17,1800,26.74
2014-11-05,26.86,27.04,26.86,27.04,7900,26.61
2014-11-04,26.89,26.91,26.80,26.86,1700,26.43
2014-11-03,26.80,26.83,26.80,26.83,900,26.40
2014-10-31,26.86,26.86,26.57,26.75,10500,26.32
2014-10-30,26.69,26.81,26.67,26.81,3800,26.38
2014-10-29,26.70,26.71,26.67,26.68,400,26.25
2014-10-28,26.69,26.70,26.53,26.65,7200,26.22
2014-10-27,26.65,26.65,26.54,26.58,2600,26.16
2014-10-24,26.59,26.59,26.59,26.59,000,26.16
2014-10-23,26.45,26.67,26.42,26.59,15400,26.16
2014-10-22,26.48,26.49,26.40,26.40,2300,25.98
2014-10-21,26.59,26.60,26.38,26.52,7400,26.10
2014-10-20,26.53,26.53,26.45,26.53,1500,26.11
2014-10-17,26.53,26.53,26.49,26.53,2300,26.11
2014-10-16,26.33,26.55,26.33,26.54,3600,26.12
2014-10-15,26.39,26.58,26.30,26.50,15700,26.08
2014-10-14,26.52,26.52,26.52,26.52,300,26.10
2014-10-13,26.44,26.44,26.28,26.31,5200,25.89
2014-10-10,26.43,26.48,26.42,26.45,5000,26.03
2014-10-09,26.62,26.62,26.50,26.50,1000,26.08
2014-10-08,26.66,26.66,26.38,26.54,11200,26.12
2014-10-07,26.81,26.81,26.66,26.66,7900,26.23
2014-10-06,26.91,26.95,26.68,26.74,12200,26.31
2014-10-03,26.94,26.94,26.74,26.93,12200,26.50
2014-10-02,26.82,26.96,26.80,26.95,900,26.52
2014-10-01,26.64,26.77,26.61,26.76,3000,26.33
2014-09-30,26.96,26.96,26.73,26.79,400,26.36
2014-09-29,26.85,26.85,26.75,26.76,5300,26.33
2014-09-26,26.81,26.90,26.73,26.74,29700,26.31
2014-09-25,26.80,26.90,26.65,26.84,23700,26.41
2014-09-24,26.97,26.99,26.71,26.78,19100,26.35
2014-09-23,26.88,26.88,26.61,26.79,5400,26.36
2014-09-22,26.74,27.01,26.74,26.88,4600,26.45
2014-09-19,26.80,26.94,26.74,26.85,9900,26.42
2014-09-18,26.47,26.71,26.47,26.66,7600,26.23
2014-09-17,26.41,26.49,26.36,26.49,7100,26.07
2014-09-16,26.44,26.45,26.34,26.35,11000,25.93
2014-09-15,26.65,26.68,26.34,26.53,12500,26.11
2014-09-12,26.60,26.65,26.57,26.65,2200,26.22
2014-09-11,26.56,26.77,26.56,26.65,6300,26.22
2014-09-10,26.66,26.66,26.63,26.65,1400,26.22
2014-09-09,26.50,26.51,26.50,26.51,900,26.09
2014-09-08,26.67,26.67,26.50,26.54,13200,26.12
2014-09-05,26.70,26.70,26.57,26.57,2000,26.15
2014-09-04,26.98,27.04,26.73,26.73,2800,26.30
2014-09-03,26.74,26.79,26.71,26.79,1900,26.36
2014-09-02,26.80,27.17,26.80,26.84,3000,26.41
2014-08-29,26.99,27.14,26.99,27.01,1400,26.58
2014-08-28,26.54,26.80,26.54,26.80,3500,26.37
2014-08-27,27.11,27.11,27.11,27.11,000,26.68
2014-08-26,27.21,27.22,27.11,27.11,2700,26.25
2014-08-25,26.92,27.05,26.92,27.05,1100,26.19
2014-08-22,27.00,27.17,26.88,26.91,3400,26.06
2014-08-21,27.10,27.18,27.01,27.04,1400,26.18
2014-08-20,27.07,27.07,26.98,26.98,1000,26.12
2014-08-19,27.05,27.05,27.05,27.05,000,26.19
2014-08-18,27.20,27.20,27.00,27.05,4700,26.19
2014-08-15,27.11,27.11,26.94,26.94,4100,26.08
2014-08-14,27.05,27.05,26.87,26.90,2200,26.05
2014-08-13,27.07,27.07,26.95,27.07,1100,26.21
2014-08-12,26.87,26.87,26.87,26.87,000,26.02
2014-08-11,26.87,26.87,26.87,26.87,400,26.02
2014-08-08,26.79,26.79,26.79,26.79,000,25.94
2014-08-07,26.79,26.79,26.79,26.79,000,25.94
2014-08-06,26.94,26.94,26.48,26.79,5800,25.94
2014-08-05,26.50,26.71,26.50,26.67,1400,25.82
2014-08-04,26.44,26.67,26.44,26.62,1600,25.78
2014-08-01,26.60,26.60,26.55,26.55,300,25.71
2014-07-31,26.73,26.80,26.61,26.63,1600,25.78
2014-07-30,26.73,26.78,26.72,26.78,4200,25.93
2014-07-29,26.67,26.87,26.62,26.75,7900,25.90
2014-07-28,26.80,26.80,26.64,26.76,4200,25.91
2014-07-25,27.24,27.24,26.64,26.77,3000,25.92
2014-07-24,26.83,26.84,26.64,26.82,2800,25.97
2014-07-23,26.61,27.31,26.61,26.86,4400,26.01
2014-07-22,26.94,27.14,26.94,27.03,2700,26.17
2014-07-21,26.56,26.99,26.52,26.81,1500,25.96
2014-07-18,26.95,26.98,26.95,26.98,500,26.12
2014-07-17,27.00,27.00,27.00,27.00,000,26.14
2014-07-16,26.88,27.00,26.73,27.00,4600,26.14
2014-07-15,27.18,27.18,27.18,27.18,000,26.32
2014-07-14,27.18,27.18,27.18,27.18,400,26.32
2014-07-11,27.06,27.19,26.95,27.02,2600,26.16
2014-07-10,27.13,27.13,26.70,26.72,5600,25.87
2014-07-09,27.14,27.15,26.93,26.93,4800,26.08
2014-07-08,26.82,26.98,26.81,26.98,2700,26.12
2014-07-07,26.80,26.80,26.80,26.80,800,25.95
2014-07-03,26.97,26.97,26.97,26.97,1900,26.11
