Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,117.90,119.36,117.82,119.33,1084900,119.33
2015-02-12,118.32,118.36,116.70,118.15,977200,118.15
2015-02-11,117.07,117.88,116.60,116.90,1161500,116.90
2015-02-10,116.19,117.41,115.12,117.07,1011000,117.07
2015-02-09,115.16,115.96,114.41,114.77,1324600,114.77
2015-02-06,116.90,117.45,115.78,116.15,1057200,116.15
2015-02-05,116.38,117.37,116.01,117.10,944500,117.10
2015-02-04,115.35,116.27,115.15,115.52,1110300,115.52
2015-02-03,115.43,116.87,114.49,116.66,1693600,116.66
2015-02-02,112.48,114.12,111.06,113.98,1099400,113.98
2015-01-30,111.99,114.64,111.96,112.10,1939700,112.10
2015-01-29,112.65,114.39,111.20,112.52,3235000,112.52
2015-01-28,116.37,117.54,114.35,114.50,1590100,114.50
2015-01-27,116.16,117.35,115.29,116.23,796800,116.23
2015-01-26,116.89,117.09,116.03,117.07,1188100,117.07
2015-01-23,118.35,118.55,116.95,116.98,583200,116.98
2015-01-22,116.27,118.42,115.78,118.35,711300,118.35
2015-01-21,115.70,116.56,114.92,115.88,642800,115.88
2015-01-20,117.73,118.39,114.82,115.89,926600,115.89
2015-01-16,114.85,117.11,114.85,117.00,1232900,117.00
2015-01-15,117.20,117.61,114.96,114.98,1531200,114.98
2015-01-14,116.95,117.69,115.77,117.18,1042800,117.18
2015-01-13,119.00,120.70,117.72,118.75,1613800,118.75
2015-01-12,118.21,118.77,117.68,118.49,1001500,118.49
2015-01-09,118.06,119.50,117.50,118.21,2124100,118.21
2015-01-08,119.04,120.60,118.77,119.94,1406800,119.94
2015-01-07,116.20,119.58,116.01,118.68,1462000,118.68
2015-01-06,117.16,117.23,115.13,115.80,1782100,115.80
2015-01-05,114.01,117.19,114.01,116.79,2159100,116.79
2015-01-02,114.21,114.61,111.78,112.59,909300,112.59
2014-12-31,115.06,115.75,113.39,113.42,689900,113.42
2014-12-30,113.49,115.55,113.46,114.57,625300,114.57
2014-12-29,113.75,114.31,113.25,113.50,450300,113.50
2014-12-26,114.16,115.18,113.95,114.17,400000,114.17
2014-12-24,113.51,114.68,113.23,114.11,304600,114.11
2014-12-23,115.53,116.14,113.16,113.47,1287400,113.25
2014-12-22,115.07,115.74,114.36,115.05,627800,114.83
2014-12-19,115.63,116.04,114.05,114.91,1271700,114.69
2014-12-18,113.34,114.94,112.64,114.94,957800,114.72
