Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,11.00,11.01,11.00,11.00,39600,11.00
2015-02-12,11.05,11.05,11.00,11.01,56000,11.01
2015-02-11,11.01,11.02,11.00,11.01,59200,11.01
2015-02-10,11.09,11.11,11.00,11.04,24500,11.04
2015-02-09,11.00,11.06,11.00,11.02,41300,11.02
2015-02-06,11.01,11.08,11.00,11.00,11400,11.00
2015-02-05,11.01,11.09,11.00,11.01,30700,11.01
2015-02-04,11.14,11.14,11.00,11.05,11500,11.05
2015-02-03,11.05,11.29,11.00,11.05,52200,11.05
2015-02-02,11.21,11.30,10.93,11.09,35200,11.09
2015-01-30,11.20,11.37,10.90,11.09,132000,11.09
2015-01-29,11.08,11.37,10.99,11.20,246200,11.20
2015-01-28,11.07,11.40,11.00,11.05,155300,11.05
2015-01-27,12.16,12.40,10.99,11.01,1565100,11.01
